YearsBP,Andes
1200,-1.507436027
1300,-1.491072391
1400,-1.474708754
1500,-1.458345118
1600,-1.441981482
1700,-1.425617845
1800,-1.389814815
1900,-1.351851852
2000,-1.313888889
2100,-1.275925926
2200,-1.237962963
2300,-1.198148148
2400,-1.156481482
2500,-1.114814815
2600,-1.073148148
2700,-1.031481482
2800,-0.990526936
2900,-0.955981482
3000,-0.921436027
3100,-0.886890573
3200,-0.852345118
3300,-0.817799664
3400,-0.793981482
3500,-0.777314815
3600,-0.760648148
3700,-0.743981482
3800,-0.727314815
3900,-0.7061633
4000,-0.667072391
4100,-0.627981482
4200,-0.588890573
4300,-0.549799663
4400,-0.510708755
4500,-0.497037037
4600,-0.49425926
4700,-0.491481482
4800,-0.488703704
4900,-0.485925926
5000,-0.472592593
5100,-0.43462963
5200,-0.396666667
5300,-0.358703704
5400,-0.320740741
5500,-0.282777778
5600,-0.250345118
5700,-0.218526936
5800,-0.186708755
5900,-0.154890573
6000,-0.123072391
6100,-0.097685186
6200,-0.081944445
6300,-0.066203704
6400,-0.050462963
6500,-0.034722223
6600,-0.018981482
6700,-0.029890573
6800,-0.040799663
6900,-0.051708755
7000,-0.062617846
7100,-0.073526936
7200,-0.06462963
7300,-0.035925926
7400,-0.007222222
7500,0.021481482
7600,0.050185186
7700,0.077870371
7800,0.096388889
7900,0.114907408
8000,0.133425926
8100,0.151944445
8200,0.170462963
8300,0.169018519
8400,0.159018519
8500,0.149018519
8600,0.139018519
8700,0.129018519
8800,0.116203704
8900,0.09212963
9000,0.068055556
9100,0.043981482
9200,0.019907408
9300,-0.004166667
9400,-0.006799664
9500,-0.004072391
9600,-0.001345118
9700,0.001382155
9800,0.004109428
9900,0.00462963
10000,0
10100,-0.00462963
10200,-0.00925926
10300,-0.013888889
10400,-0.018518519
10500,-0.014890573
10600,-0.010345118
10700,-0.005799664
10800,0.000563973
10900,0.008139731
11000,0.015715488
11100,0.019654882
11200,0.015109428
11300,0.010563973
11400,0.006018519
11500,-0.089436027
11600,-0.184890573
11700,-0.280345118
11800,-0.349284512
11900,-0.40686027
12000,-0.464436027
12100,-0.549304062
12200,-0.675110514
12300,-0.800916965
12400,-0.926723417
12500,-1.052529869
12600,-1.178336321
12700,-1.25746633
12800,-1.149890573
12900,-1.042314815
13000,-0.934739057
13100,-0.973072391
13200,-1.027617845
13300,-1.0821633
13400,-1.117617845
13500,-1.140345118
13600,-1.163072391
13700,-1.172617845
13800,-1.151405724
13900,-1.130193603
14000,-1.108981482
14100,-1.287769361
14200,-1.466557239
14300,-1.645345118
14400,-1.615193603
14500,-1.495496633
14600,-1.375799664
14700,-1.361912516
14800,-1.506740102
14900,-1.651567689
15000,-1.786206897
15100,-1.95862069
15200,-2.131034483
15300,-2.221428571
15400,-2.257142857
15500,-2.292857143
15600,-2.410344828
15700,-2.548275862
15800,-2.686206897
15900,-3.010344828
16000,-3.355172414
16100,-3.7
16200,-3.562068966
16300,-3.424137931
16400,-3.3
16500,-3.3
16600,-3.3
16700,-3.248275862
16800,-3.075862069
16900,-2.903448276
17000,-3.133333333
17100,-3.355172414
17200,-3.424137931
17300,-3.493103448
17400,-3.371428571
17500,-3.228571429
17600,-3.103448276
17700,-3.137931034
17800,-3.172413793
17900,-3.2
18000,-3.2
18100,-3.2
18200,-3.2
18300,-3.2
18400,-3.2
18500,-3.271428571
18600,-3.45
18700,-3.628571429
18800,-3.65862069
18900,-3.589655172
19000,-3.520689655
19100,-3.62962963
19200,-3.814814815
19300,-4
19400,-3.769230769
19500,-3.538461538
19600,-3.37037037
19700,-3.296296296
19800,-3.222222222
19900,-3.174074074
20000,-3.137037037
20100,-3.1
20200,-3.276923077
20300,-3.661538462
20400,-4.046153846
20500,-4.2
20600,-4.2
20700,-4.2
20800,-4.166666667
20900,-4.12962963
21000,-4.115384615
21100,-4.192307692
21200,-4.269230769
21300,-4.322222222
21400,-4.359259259
21500,-4.396296296
21600,-4.5
21700,-4.611111111
21800,-4.707692308
21900,-4.746153846
22000,-4.784615385
22100,-4.777777778
22200,-4.740740741
22300,-4.703703704
22400,-4.383783784
22500,-4.032432432
22600,-3.681081081
22700,-3.407407407
22800,-3.444444444
22900,-3.481481481
23000,-3.703703704
23100,-4.111111111
23200,-4.518518519
23300,-4.524528302
23400,-4.430188679
23500,-4.335849057
23600,-4.241509434
23700,-4.147169811
23800,-3.988888889
23900,-3.766666667
24000,-3.544444444
24100,-3.438461538
24200,-3.361538462
24300,-3.285185185
24400,-3.211111111
24500,-3.137037037
24600,-3.16
24700,-3.28
24800,-3.4
24900,-3.438461538
25000,-3.476923077
25100,-3.564
25200,-3.724
25300,-3.884
25400,-4.044
25500,-4.204
25600,-4.284615385
25700,-4.246153846
25800,-4.207692308
25900,-4.264
26000,-4.344
26100,-4.448
26200,-4.608
26300,-4.768
26400,-4.8
26500,-4.8
26600,-4.776923077
26700,-4.7
26800,-4.623076923
26900,-4.6
27000,-4.6
27100,-4.6
27200,-4.6
27300,-4.6
27400,-4.653846154
27500,-4.730769231
27600,-4.824
27700,-5.064
27800,-5.304
27900,-5.088
28000,-4.568
28100,-4.1
28200,-4.1
28300,-4.1
28400,-4
28500,-3.8
28600,-3.6
28700,-3.71627907
28800,-3.83255814
28900,-3.948837209
29000,-4.065116279
29100,-4.1
29200,-4.1
29300,-4.1
29400,-4.072413793
29500,-4.037931034
29600,-4.003448276
29700,-3.937931034
29800,-3.868965517
29900,-3.8
30000,-3.703846154
30100,-3.607692308
30200,-3.511538462
30300,-3.415384615
30400,-3.319230769
30500,-3.465517241
30600,-3.672413793
30700,-3.879310345
30800,-3.962068966
30900,-4.031034483
31000,-4.1
31100,-4.065517241
31200,-4.031034483
31300,-3.98
31400,-3.78
31500,-3.6
31600,-3.6
31700,-3.6
31800,-3.613793103
31900,-3.682758621
32000,-3.751724138
32100,-3.810344828
32200,-3.844827586
32300,-3.879310345
32400,-3.883606557
32500,-3.842622951
32600,-3.801639344
32700,-3.760655738
32800,-3.719672131
32900,-3.678688525
33000,-3.637704918
33100,-3.596721311
33200,-3.555737705
33300,-3.514754098
33400,-3.473770492
33500,-3.432786885
33600,-3.427586207
33700,-3.565517241
33800,-3.703448276
33900,-3.789655172
34000,-3.755172414
34100,-3.720689655
34200,-3.713793103
34300,-3.748275862
34400,-3.782758621
34500,-3.791803279
34600,-3.775409836
34700,-3.759016393
34800,-3.742622951
34900,-3.726229508
35000,-3.709836066
35100,-3.680645161
35200,-3.632258065
35300,-3.583870968
35400,-3.535483871
35500,-3.487096774
35600,-3.438709677
35700,-3.4
35800,-3.4
35900,-3.4
36000,-3.4
36100,-3.4
36200,-3.4
36300,-3.404918033
36400,-3.454098361
36500,-3.503278689
36600,-3.552459016
36700,-3.601639344
36800,-3.650819672
36900,-3.7
37000,-3.716129032
37100,-3.732258065
37200,-3.748387097
37300,-3.764516129
37400,-3.780645161
37500,-3.796774194
37600,-3.773770492
37700,-3.740983607
37800,-3.708196721
37900,-3.675409836
38000,-3.642622951
38100,-3.609836066
38200,-3.657377049
38300,-3.739344262
38400,-3.821311475
38500,-3.903278689
38600,-3.985245902
38700,-4.067213115
38800,-4.051612903
38900,-3.970967742
39000,-3.890322581
39100,-3.809677419
39200,-3.729032258
39300,-3.648387097
39400,-3.6
39500,-3.6
39600,-3.6
39700,-3.6
39800,-3.6
39900,-3.6
40000,-3.594642857
40100,-3.576785714
40200,-3.558928571
40300,-3.541071429
40400,-3.523214286
40500,-3.505357143
40600,-3.576363636
40700,-3.685454545
40800,-3.794545455
40900,-3.903636364
41000,-4.012727273
