BP,KBP
8,0.008
10,0.01
11,0.011
28,0.028
35,0.035
35,0.035
48,0.048
48,0.048
48,0.048
48,0.048
48,0.048
58,0.058
59,0.059
64,0.064
64,0.064
71,0.071
74,0.074
87,0.087
90,0.09
90,0.09
98,0.098
100,0.1
100,0.1
112,0.112
126,0.126
129,0.129
130,0.13
150,0.15
155,0.155
157,0.157
185,0.185
220,0.22
230,0.23
240,0.24
240,0.24
263,0.263
300,0.3
321,0.321
337,0.337
350,0.35
379,0.379
385,0.385
400,0.4
410,0.41
530,0.53
588,0.588
637,0.637
690,0.69
807,0.807
1020,1.02
1035,1.035
1080,1.08
1133,1.133
1141,1.141
1183,1.183
1200,1.2
1250,1.25
1254,1.254
1265,1.265
1310,1.31
1376,1.376
1396,1.396
1415,1.415
1476,1.476
1480,1.48
1482,1.482
1500,1.5
1532,1.532
1562,1.562
1585,1.585
1617,1.617
1620,1.62
1650,1.65
1707,1.707
1735,1.735
1740,1.74
1740,1.74
1740,1.74
1800,1.8
1840,1.84
1890,1.89
1900,1.9
1927,1.927
1955,1.955
1996,1.996
2057,2.057
2065,2.065
2070,2.07
2123,2.123
2234,2.234
2244,2.244
2262,2.262
2269,2.269
2270,2.27
2289,2.289
2500,2.5
2569,2.569
2569,2.569
2594,2.594
2620,2.62
2627,2.627
2691,2.691
2698,2.698
2800,2.8
2898,2.898
2900,2.9
3029,3.029
3030,3.03
3030,3.03
3069,3.069
3510,3.51
3580,3.58
3640,3.64
3650,3.65
3670,3.67
3710,3.71
3740,3.74
3770,3.77
3920,3.92
3950,3.95
4000,4
4000,4
4000,4
4000,4
4000,4
4000,4
4032,4.032
4042,4.042
4060,4.06
4069,4.069
4190,4.19
4240,4.24
4277,4.277
4500,4.5
4500,4.5
4539,4.539
4674,4.674
4786,4.786
5010,5.01
5200,5.2
5231,5.231
5520,5.52
5680,5.68
5813,5.813
6200,6.2
6250,6.25
6400,6.4
6477,6.477
6550,6.55
6710,6.71
6900,6.9
6910,6.91
7141,7.141
7289,7.289
7290,7.29
7363,7.363
7547,7.547
7587,7.587
7630,7.63
7824,7.824
7834,7.834
7898,7.898
7970,7.97
8059,8.059
8202,8.202
8202,8.202
8289,8.289
8301,8.301
8369,8.369
8380,8.38
8550,8.55
8640,8.64
8683,8.683
8706,8.706
8806,8.806
8886,8.886
8971,8.971
9069,9.069
9076,9.076
9362,9.362
9588,9.588
9599,9.599
9610,9.61
9650,9.65
9710,9.71
9765,9.765
9846,9.846
9900,9.9
9900,9.9
9900,9.9
9921,9.921
9958,9.958
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10000,10
10040,10.04
10078,10.078
10130,10.13
10180,10.18
10189,10.189
10300,10.3
10425,10.425
10488,10.488
10550,10.55
10651,10.651
10660,10.66
10960,10.96
11119,11.119
11322,11.322
11390,11.39
11495,11.495
11497,11.497
11500,11.5
12000,12
12027,12.027
12300,12.3
12520,12.52
12555,12.555
12603,12.603
12670,12.67
12908,12.908
13069,13.069
13109,13.109
13410,13.41
13550,13.55
13570,13.57
13690,13.69
13750,13.75
13790,13.79
13800,13.8
13830,13.83
13840,13.84
13840,13.84
13845,13.845
13867,13.867
13890,13.89
13920,13.92
13970,13.97
14000,14
14320,14.32
14573,14.573
14602,14.602
14900,14.9
14937,14.937
15200,15.2
16092,16.092
16487,16.487
16500,16.5
18000,18
18700,18.7
19960,19.96
23000,23
25000,25
25000,25
26150,26.15
29420,29.42
30000,30
30000,30
30000,30
30000,30
