"Age","Temperature","Anomaly"
0,1.285,-0.82
100,-0.485,-2.59
200,-0.305,-2.41
300,-0.23,-2.335
400,-0.275,-2.38
500,0.455,-1.65
600,-0.355,-2.46
700,-0.485,-2.59
800,0.59,-1.515
900,-0.17,-2.275
1000,0.81,-1.295
1100,1.32,-0.785
1200,0.75,-1.355
1300,0.555,-1.55
1400,0.265,-1.84
1500,0.29,-1.815
1600,0.815,-1.29
1700,0.745,-1.36
1800,0.645,-1.46
1900,0.4,-1.705
2000,1.605,-0.5
2100,0.755,-1.35
2200,0.215,-1.89
2300,0.54,-1.565
2400,1.23,-0.875
2500,1.49,-0.615
2600,0.29,-1.815
2700,1.07,-1.035
2800,0.785,-1.32
2900,0.905,-1.2
3000,1.315,-0.79
3100,0.96,-1.145
3200,1.305,-0.8
3300,1.11,-0.995
3400,1.4,-0.705
3500,1.195,-0.91
3600,1.15,-0.955
3700,1.6,-0.505
3800,0.59,-1.515
3900,1.615,-0.49
4000,1.235,-0.87
4100,1.35,-0.755
4200,1.795,-0.31
4300,0.735,-1.37
4400,1.735,-0.37
4500,1.4,-0.705
4600,1.665,-0.44
4700,2.305,0.2
4800,1.645,-0.46
4900,2.56,0.455
5000,1.845,-0.26
5100,1.765,-0.34
5200,1.9,-0.205
5300,2.8,0.695
5400,1.855,-0.25
5500,2.335,0.23
5600,2.125,0.02
5700,2.06,-0.0449999999999999
5800,1.95,-0.155
5900,1.735,-0.37
6000,2.07,-0.0349999999999997
6100,1.98,-0.125
6200,1.94,-0.165
6300,2.03,-0.0750000000000002
6400,2.3,0.195
6500,2.445,0.34
6600,2.045,-0.0600000000000001
6700,1.98,-0.125
6800,2.36,0.255
6900,2.565,0.46
7000,2.47,0.365
7100,2.03,-0.0749999999999997
7200,2.575,0.47
7300,2.42,0.315
7400,1.995,-0.11
7500,2.29,0.185
7600,2.075,-0.0299999999999998
7700,2.745,0.64
7800,3.26,1.155
7900,3.29,1.185
8000,2.915,0.81
8100,1.33,-0.775
8200,1.15,-0.955
8300,2.765,0.66
8400,3.13,1.025
8500,2.395,0.29
8600,2.27,0.165
8700,2.4,0.295
8800,2.455,0.35
8900,2.59,0.485
9000,1.595,-0.51
9100,2.825,0.72
9200,2.91,0.805
9300,2.37,0.265
9400,2.22,0.115
9500,2.485,0.38
9600,2.195,0.0899999999999999
9700,2.435,0.33
9800,1.3,-0.805
9900,2.335,0.23
10000,2.105,0
10100,1.36,-0.745
10200,1.655,-0.45
10300,0.92,-1.185
10400,0.98,-1.125
10500,0.445,-1.66
10600,0.225,-1.88
10700,-0.1,-2.205
10800,-0.6,-2.705
10900,-1.435,-3.54
11000,-1.675,-3.78
11100,-1.845,-3.95
11200,-1.84,-3.945
11300,-1.87,-3.975
11400,-4.31,-6.415
11500,-3.235,-5.34
11600,-3.4,-5.505
