"Age","Temperature","Anomaly"
0,0,1.3
100,0.2,1.5
200,-0.1,1.2
300,-0.2,1.1
400,-0.4,0.9
500,-0.4,0.9
600,-0.4,0.9
700,-0.2,1.1
800,-0.1,1.2
900,-0.2,1.1
1000,-0.1,1.2
1100,-0.1,1.2
1200,-0.1,1.2
1300,-0.3,1
1400,-0.3,1
1500,-0.3,1
1600,-0.2,1.1
1700,-0.2,1.1
1800,-0.2,1.1
1900,-0.2,1.1
2000,-0.1,1.2
2100,0,1.3
2200,0.1,1.4
2300,0.2,1.5
2400,0.1,1.4
2500,0,1.3
2600,0,1.3
2700,0,1.3
2800,-0.1,1.2
2900,-0.1,1.2
3000,0.1,1.4
3100,0.2,1.5
3200,0.1,1.4
3300,0.3,1.6
3400,0.2,1.5
3500,-0.1,1.2
3600,-0.2,1.1
3700,-0.2,1.1
3800,-0.1,1.2
3900,0,1.3
4000,0.1,1.4
4100,0.1,1.4
4200,0,1.3
4300,-0.1,1.2
4400,-0.1,1.2
4500,-0.1,1.2
4600,-0.2,1.1
4700,-0.1,1.2
4800,0.1,1.4
4900,0.4,1.7
5000,0.4,1.7
5100,0.3,1.6
5200,0.3,1.6
5300,0.1,1.4
5400,0,1.3
5500,0.1,1.4
5600,-0.1,1.2
5700,-0.2,1.1
5800,-0.1,1.2
5900,0.1,1.4
6000,0.1,1.4
6100,0.3,1.6
6200,0.4,1.7
6300,0.6,1.9
6400,0.4,1.7
6500,0.3,1.6
6600,0.2,1.5
6700,0.2,1.5
6800,0.2,1.5
6900,0.3,1.6
7000,0.3,1.6
7100,0.5,1.8
7200,0.5,1.8
7300,0.5,1.8
7400,0.5,1.8
7500,0.5,1.8
7600,0.5,1.8
7700,0.2,1.5
7800,0,1.3
7900,-0.4,0.9
8000,-0.9,0.4
8100,-1.2,0.1
8200,-1.4,-0.0999999999999999
8300,-1.8,-0.5
8400,-2.1,-0.8
8500,-2.1,-0.8
8600,-1.9,-0.6
8700,-1.9,-0.6
8800,-1.7,-0.4
8900,-1.6,-0.3
9000,-0.7,0.6
9100,-0.6,0.7
9200,-1.1,0.2
9300,-1.2,0.1
9400,-1,0.3
9500,-1.2,0.1
9600,-1.3,0
9700,-1.4,-0.0999999999999999
9800,-1.3,0
9900,-1.3,0
10000,-1.3,0
10100,-1.3,0
10200,-1.3,0
10300,-1.5,-0.2
10400,-2,-0.7
10500,-2.3,-1
10600,-2.8,-1.5
10700,-3.5,-2.2
10800,-3,-1.7
10900,-3.7,-2.4
11000,-3.9,-2.6
11100,-2.6,-1.3
11200,-2.9,-1.6
11300,-2.2,-0.9
11400,-2.3,-1
11500,-3.1,-1.8
11600,-4,-2.7
11700,-4.8,-3.5
11800,-4.8,-3.5
11900,-4.8,-3.5
12000,-4.5,-3.2
12100,-4.1,-2.8
12200,-4.3,-3
12300,-4.3,-3
12400,-4.1,-2.8
12500,-4,-2.7
12600,-4,-2.7
12700,-4,-2.7
12800,-4.1,-2.8
12900,-4.1,-2.8
13000,-3.9,-2.6
13100,-4,-2.7
13200,-4.4,-3.1
13300,-4.8,-3.5
13400,-4.8,-3.5
13500,-4.2,-2.9
13600,-4.2,-2.9
13700,-4.3,-3
13800,-4.4,-3.1
13900,-4.5,-3.2
14000,-4.2,-2.9
14100,-4.2,-2.9
14200,-4.2,-2.9
14300,-4.2,-2.9
14400,-4.2,-2.9
14500,-4.2,-2.9
14600,-4.2,-2.9
14700,-4.2,-2.9
14800,-4.2,-2.9
14900,-4.2,-2.9
15000,-4.2,-2.9
15100,-4.3,-3
15200,-4.3,-3
15300,-4.3,-3
15400,-4.3,-3
15500,-4.4,-3.1
15600,-4.4,-3.1
15700,-4.4,-3.1
15800,-4.4,-3.1
15900,-4.4,-3.1
16000,-4.4,-3.1
16100,-4.4,-3.1
16200,-4.4,-3.1
16300,-4.4,-3.1
16400,-4.4,-3.1
16500,-4.3,-3
16600,-4.3,-3
16700,-4.3,-3
16800,-4.2,-2.9
16900,-4.2,-2.9
17000,-4.1,-2.8
17100,-4,-2.7
17200,-4,-2.7
17300,-4.2,-2.9
17400,-4.5,-3.2
17500,-4.8,-3.5
17600,-5.2,-3.9
17700,-5.5,-4.2
17800,-5.6,-4.3
17900,-5.5,-4.2
18000,-5.4,-4.1
18100,-5.3,-4
18200,-5.2,-3.9
18300,-3.4,-2.1
18400,-3.4,-2.1
18500,-3.4,-2.1
18600,-3.4,-2.1
18700,-3.3,-2
18800,-3.3,-2
18900,-3.3,-2
19000,-3.3,-2
19100,-3.3,-2
19200,-3.2,-1.9
19300,-3.2,-1.9
19400,-3.1,-1.8
19500,-3.1,-1.8
19600,-3.2,-1.9
19700,-3.3,-2
19800,-3.4,-2.1
19900,-3.4,-2.1
20000,-3.3,-2
20100,-3.3,-2
20200,-3.3,-2
20300,-3.3,-2
20400,-3.3,-2
20500,-3.3,-2
20600,-3.2,-1.9
20700,-3.1,-1.8
20800,-3,-1.7
20900,-3,-1.7
21000,-3.2,-1.9
21100,-3.4,-2.1
21200,-3.5,-2.2
21300,-3.6,-2.3
21400,-3.6,-2.3
21500,-3.7,-2.4
21600,-3.8,-2.5
21700,-3.9,-2.6
21800,-4,-2.7
21900,-3.5,-2.2
22000,-2.9,-1.6
22100,-2.4,-1.1
22200,-1.8,-0.5
22300,-1.2,0.1
22400,-0.6,0.7
22500,0,1.3
