"Age","Temperature","Anomaly"
700,0.4,-0.36
800,0.48,-0.28
900,0.56,-0.2
1000,0.64,-0.12
1100,0.72,-0.0399999999999999
1200,0.8,0.04
1300,0.6,-0.16
1400,0.4,-0.36
1500,0.2,-0.56
1600,0,-0.76
1700,-0.2,-0.96
1800,-0.32,-1.08
1900,-0.44,-1.2
2000,-0.56,-1.32
2100,-0.68,-1.44
2200,-0.8,-1.56
2300,-0.72,-1.48
2400,-0.64,-1.4
2500,-0.56,-1.32
2600,-0.48,-1.24
2700,-0.4,-1.16
2800,-0.24,-1
2900,-0.08,-0.84
3000,0.08,-0.68
3100,0.24,-0.52
3200,0.4,-0.36
3300,0.4,-0.36
3400,0.4,-0.36
3500,0.4,-0.36
3600,0.4,-0.36
3700,0.4,-0.36
3800,0.38,-0.38
3900,0.36,-0.4
4000,0.34,-0.42
4100,0.32,-0.44
4200,0.3,-0.46
4300,0.18,-0.58
4400,0.06,-0.7
4500,-0.06,-0.82
4600,-0.18,-0.94
4700,-0.3,-1.06
4800,-0.16,-0.92
4900,-0.02,-0.78
5000,0.12,-0.64
5100,0.26,-0.5
5200,0.4,-0.36
5300,0.24,-0.52
5400,0.08,-0.68
5500,-0.08,-0.84
5600,-0.24,-1
5700,-0.4,-1.16
5800,-0.42,-1.18
5900,-0.44,-1.2
6000,-0.46,-1.22
6100,-0.48,-1.24
6200,-0.5,-1.26
6300,-0.4,-1.16
6400,-0.3,-1.06
6500,-0.2,-0.96
6600,-0.1,-0.86
6700,0,-0.76
6800,-0.06,-0.82
6900,-0.12,-0.88
7000,-0.18,-0.94
7100,-0.24,-1
7200,-0.3,-1.06
7300,-0.32,-1.08
7400,-0.34,-1.1
7500,-0.36,-1.12
7600,-0.38,-1.14
7700,-0.4,-1.16
7800,-0.46,-1.22
7900,-0.52,-1.28
8000,-0.58,-1.34
8100,-0.64,-1.4
8200,-0.7,-1.46
8300,-0.64,-1.4
8400,-0.58,-1.34
8500,-0.52,-1.28
8600,-0.46,-1.22
8700,-0.4,-1.16
8800,-0.26,-1.02
8900,-0.12,-0.88
9000,0.02,-0.74
9100,0.16,-0.6
9200,0.3,-0.46
9300,0.38,-0.38
9400,0.46,-0.3
9500,0.54,-0.22
9600,0.62,-0.14
9700,0.7,-0.0600000000000001
9800,0.72,-0.04
9900,0.74,-0.02
10000,0.76,0
10100,0.78,0.02
10200,0.8,0.04
10300,0.8,0.04
10400,0.8,0.04
10500,0.8,0.04
10600,0.8,0.04
10700,0.8,0.04
10800,0.74,-0.02
10900,0.68,-0.08
11000,0.62,-0.14
11100,0.56,-0.2
11200,0.5,-0.26
11300,0.4,-0.36
11400,0.3,-0.46
11500,0.2,-0.56
11600,0.1,-0.66
11700,0,-0.76
11800,-0.32,-1.08
11900,-0.64,-1.4
12000,-0.96,-1.72
12100,-1.28,-2.04
12200,-1.6,-2.36
12300,-1.6,-2.36
12400,-1.6,-2.36
12500,-1.6,-2.36
12600,-1.6,-2.36
12700,-1.6,-2.36
12800,-1.94,-2.7
12900,-2.28,-3.04
13000,-2.62,-3.38
13100,-2.96,-3.72
13200,-3.3,-4.06
13300,-3.26,-4.02
13400,-3.22,-3.98
13500,-3.18,-3.94
13600,-3.14,-3.9
13700,-3.1,-3.86
13800,-3.02,-3.78
13900,-2.94,-3.7
14000,-2.86,-3.62
14100,-2.78,-3.54
14200,-2.7,-3.46
14300,-2.68,-3.44
14400,-2.66,-3.42
14500,-2.64,-3.4
14600,-2.62,-3.38
14700,-2.6,-3.36
14800,-2.84,-3.6
14900,-3.08,-3.84
15000,-3.32,-4.08
15100,-3.56,-4.32
15200,-3.8,-4.56
15300,-3.66,-4.42
15400,-3.52,-4.28
15500,-3.38,-4.14
15600,-3.24,-4
15700,-3.1,-3.86
15800,-3.34,-4.1
15900,-3.58,-4.34
16000,-3.82,-4.58
16100,-4.06,-4.82
16200,-4.3,-5.06
16300,-4.64,-5.4
16400,-4.98,-5.74
16500,-5.32,-6.08
16600,-5.66,-6.42
16700,-6,-6.76
16800,-6.26,-7.02
16900,-6.52,-7.28
17000,-6.78,-7.54
17100,-7.04,-7.8
17200,-7.3,-8.06
17300,-7.3,-8.06
17400,-7.3,-8.06
17500,-7.3,-8.06
17600,-7.3,-8.06
17700,-7.3,-8.06
17800,-7.58,-8.34
17900,-7.86,-8.62
18000,-8.14,-8.9
18100,-8.42,-9.18
18200,-8.7,-9.46
18300,-8.78,-9.54
18400,-8.86,-9.62
18500,-8.94,-9.7
18600,-9.02,-9.78
18700,-9.1,-9.86
18800,-9.12,-9.88
18900,-9.14,-9.9
19000,-9.16,-9.92
19100,-9.18,-9.94
19200,-9.2,-9.96
19300,-9.26,-10.02
19400,-9.32,-10.08
19500,-9.38,-10.14
19600,-9.44,-10.2
19700,-9.5,-10.26
19800,-9.14,-9.9
19900,-8.78,-9.54
20000,-8.42,-9.18
20100,-8.06,-8.82
20200,-7.7,-8.46
20300,-7.86,-8.62
20400,-8.02,-8.78
20500,-8.18,-8.94
20600,-8.34,-9.1
20700,-8.5,-9.26
20800,-8.32,-9.08
20900,-8.14,-8.9
21000,-7.96,-8.72
21100,-7.78,-8.54
21200,-7.6,-8.36
21300,-7.56,-8.32
21400,-7.52,-8.28
21500,-7.48,-8.24
21600,-7.44,-8.2
21700,-7.4,-8.16
21800,-7.46,-8.22
21900,-7.52,-8.28
22000,-7.58,-8.34
22100,-7.64,-8.4
22200,-7.7,-8.46
22300,-7.76,-8.52
22400,-7.82,-8.58
22500,-7.88,-8.64
22600,-7.94,-8.7
22700,-8,-8.76
22800,-7.86,-8.62
22900,-7.72,-8.48
23000,-7.58,-8.34
23100,-7.44,-8.2
23200,-7.3,-8.06
23300,-7.36,-8.12
23400,-7.42,-8.18
23500,-7.48,-8.24
23600,-7.54,-8.3
23700,-7.6,-8.36
23800,-7.84,-8.6
23900,-8.08,-8.84
24000,-8.32,-9.08
24100,-8.56,-9.32
24200,-8.8,-9.56
24300,-8.76,-9.52
24400,-8.72,-9.48
24500,-8.68,-9.44
24600,-8.64,-9.4
24700,-8.6,-9.36
24800,-8.56,-9.32
24900,-8.52,-9.28
25000,-8.48,-9.24
25100,-8.44,-9.2
25200,-8.4,-9.16
25300,-8.4,-9.16
25400,-8.4,-9.16
25500,-8.4,-9.16
25600,-8.4,-9.16
25700,-8.4,-9.16
25800,-8.14,-8.9
25900,-7.88,-8.64
26000,-7.62,-8.38
26100,-7.36,-8.12
26200,-7.1,-7.86
26300,-7.32,-8.08
26400,-7.54,-8.3
26500,-7.76,-8.52
26600,-7.98,-8.74
26700,-8.2,-8.96
26800,-8,-8.76
26900,-7.8,-8.56
27000,-7.6,-8.36
27100,-7.4,-8.16
27200,-7.2,-7.96
27300,-7.36,-8.12
27400,-7.52,-8.28
27500,-7.68,-8.44
27600,-7.84,-8.6
27700,-8,-8.76
27800,-7.86,-8.62
27900,-7.72,-8.48
28000,-7.58,-8.34
28100,-7.44,-8.2
28200,-7.3,-8.06
28300,-7.2,-7.96
28400,-7.1,-7.86
28500,-7,-7.76
28600,-6.9,-7.66
28700,-6.8,-7.56
28800,-6.78,-7.54
28900,-6.76,-7.52
29000,-6.74,-7.5
29100,-6.72,-7.48
29200,-6.7,-7.46
29300,-6.66,-7.42
29400,-6.62,-7.38
29500,-6.58,-7.34
29600,-6.54,-7.3
29700,-6.5,-7.26
29800,-6.74,-7.5
29900,-6.98,-7.74
30000,-7.22,-7.98
30100,-7.46,-8.22
30200,-7.7,-8.46
