"Age","Temperature","Anomaly"
0,-32.35,-0.899999999999999
100,-31.5,-0.0499999999999972
200,-32.4,-0.949999999999996
300,-31.85,-0.399999999999999
400,-31.75,-0.299999999999997
500,-31.65,-0.199999999999996
600,-33.75,-2.3
700,-33,-1.55
800,-33.2,-1.75
900,-32.6,-1.14999999999999
1000,-30.5,0.950000000000003
1100,-32.75,-1.3
1200,-30.35,1.1
1300,-31.8,-0.349999999999998
1400,-31.65,-0.199999999999996
1500,-31.75,-0.299999999999997
1600,-32.2,-0.75
1700,-31.75,-0.299999999999997
1800,-32.2,-0.75
1900,-30.6,0.850000000000001
2000,-31.55,-0.0999999999999979
2100,-32.1,-0.649999999999999
2200,-30.35,1.1
2300,-32.05,-0.599999999999994
2400,-31.55,-0.0999999999999979
2500,-28.9,2.55
2600,-31.1,0.350000000000001
2700,-31.35,0.100000000000001
2800,-29.95,1.5
2900,-31.35,0.100000000000001
3000,-32.15,-0.699999999999996
3100,-31.4,0.0500000000000043
3200,-31.8,-0.349999999999998
3300,-29.3,2.15
3400,-31.1,0.350000000000001
3500,-29.95,1.5
3600,-31.35,0.100000000000001
3700,-29.7,1.75
3800,-30.95,0.500000000000004
3900,-30.35,1.1
4000,-30.65,0.800000000000004
4100,-30.15,1.3
4200,-30.55,0.900000000000006
4300,-31.15,0.300000000000004
4400,-30.2,1.25
4500,-31.1,0.350000000000001
4600,-32,-0.549999999999997
4700,-31.85,-0.399999999999999
4800,-31.6,-0.149999999999999
4900,-31.2,0.25
5000,-30.75,0.700000000000003
5100,-30.75,0.700000000000003
5200,-31.35,0.100000000000001
5300,-31.5,-0.0499999999999972
5400,-30.3,1.15
5500,-30.9,0.550000000000004
5600,-30.8,0.650000000000006
5700,-30.65,0.800000000000004
5800,-30.45,1
5900,-30.15,1.3
6000,-32.05,-0.599999999999994
6100,-30.7,0.750000000000004
6200,-31.85,-0.399999999999995
6300,-30.9,0.550000000000004
6400,-30.95,0.5
6500,-31.3,0.150000000000002
6600,-31.05,0.400000000000006
6700,-30.45,1
6800,-30.25,1.2
6900,-30.55,0.900000000000006
7000,-30.25,1.2
7100,-31.05,0.400000000000002
7200,-30.8,0.650000000000002
7300,-29.45,2
7400,-30.15,1.3
7500,-30.6,0.850000000000001
7600,-30.55,0.900000000000002
7700,-28.6,2.85
7800,-29.5,1.95
7900,-30.55,0.900000000000002
8000,-31.05,0.400000000000006
8100,-32.95,-1.5
8200,-35.45,-4
8300,-30.9,0.550000000000004
8400,-30.85,0.600000000000001
8500,-30.8,0.650000000000006
8600,-31.2,0.250000000000004
8700,-31.3,0.150000000000002
8800,-30.35,1.1
8900,-28.45,3
