"Age","Temperature","Anomaly"
0,0,1.11707317073171
100,0.1,1.21707317073171
200,-0.1,1.01707317073171
300,-0.5,0.617073170731707
400,-0.4,0.717073170731707
500,-0.1,1.01707317073171
600,-0.3,0.817073170731707
700,-0.1,1.01707317073171
800,0.2,1.31707317073171
900,0.2,1.31707317073171
1000,0,1.11707317073171
1100,0,1.11707317073171
1200,-0.1,1.01707317073171
1300,-0.2,0.917073170731707
1400,0,1.11707317073171
1500,0.2,1.31707317073171
1600,0.1,1.21707317073171
1700,0,1.11707317073171
1800,-0.1,1.01707317073171
1900,0,1.11707317073171
2000,-0.1,1.01707317073171
2100,-0.2,0.917073170731707
2200,-0.1,1.01707317073171
2300,-0.1,1.01707317073171
2400,-0.1,1.01707317073171
2500,-0.1,1.01707317073171
2600,-0.1,1.01707317073171
2700,-0.1,1.01707317073171
2800,-0.1,1.01707317073171
2900,-0.1,1.01707317073171
3000,-0.1,1.01707317073171
3100,-0.1,1.01707317073171
3200,0,1.11707317073171
3300,0,1.11707317073171
3400,0.1,1.21707317073171
3500,0.1,1.21707317073171
3600,0.1,1.21707317073171
3700,0.1,1.21707317073171
3800,0.1,1.21707317073171
3900,0.1,1.21707317073171
4000,0,1.11707317073171
4100,0,1.11707317073171
4200,-0.1,1.01707317073171
4300,-0.1,1.01707317073171
4400,-0.2,0.917073170731707
4500,-0.2,0.917073170731707
4600,-0.3,0.817073170731707
4700,-0.3,0.817073170731707
4800,-0.3,0.817073170731707
4900,-0.3,0.817073170731707
5000,-0.3,0.817073170731707
5100,-0.3,0.817073170731707
5200,-0.2,0.917073170731707
5300,-0.1,1.01707317073171
5400,-0.1,1.01707317073171
5500,0,1.11707317073171
5600,0.1,1.21707317073171
5700,-0.1,1.01707317073171
5800,-0.4,0.717073170731707
5900,-0.5,0.617073170731707
6000,-0.5,0.617073170731707
6100,-0.3,0.817073170731707
6200,-0.1,1.01707317073171
6300,-0.1,1.01707317073171
6400,-0.2,0.917073170731707
6500,0,1.11707317073171
6600,0,1.11707317073171
6700,0,1.11707317073171
6800,0.1,1.21707317073171
6900,-0.1,1.01707317073171
7000,-0.3,0.817073170731707
7100,-0.5,0.617073170731707
7200,-0.6,0.517073170731707
7300,-0.7,0.417073170731707
7400,-0.5,0.617073170731707
7500,-0.3,0.817073170731707
7600,-0.3,0.817073170731707
7700,-0.1,1.01707317073171
7800,-0.2,0.917073170731707
7900,-0.6,0.517073170731707
8000,-0.4,0.717073170731707
8100,0.1,1.21707317073171
8200,-0.4,0.717073170731707
8300,-0.3,0.817073170731707
8400,-0.1,1.01707317073171
8500,-0.3,0.817073170731707
8600,-0.7,0.417073170731707
8700,-0.8,0.317073170731707
8800,-0.6,0.517073170731707
8900,-0.5,0.617073170731707
9000,-0.7,0.417073170731707
9100,-0.9,0.217073170731707
9200,-1.1,0.0170731707317071
9300,-1.1,0.0170731707317071
9400,-1,0.117073170731707
9500,-1,0.117073170731707
9600,-1,0.117073170731707
9700,-1,0.117073170731707
9800,-1.2,-0.0829268292682928
9900,-1.4,-0.282926829268293
10000,-1.6,-0.482926829268293
10100,-1.4,-0.282926829268293
10200,-1.2,-0.0829268292682928
10300,-1,0.117073170731707
10400,-0.9,0.217073170731707
10500,-1,0.117073170731707
10600,-1.2,-0.0829268292682928
10700,-1.3,-0.182926829268293
10800,-1.3,-0.182926829268293
10900,-1.3,-0.182926829268293
11000,-1.6,-0.482926829268293
11100,-1.7,-0.582926829268293
11200,-1.8,-0.682926829268293
11300,-1.8,-0.682926829268293
11400,-1.8,-0.682926829268293
11500,-1.7,-0.582926829268293
11600,-1.7,-0.582926829268293
11700,-1.7,-0.582926829268293
11800,-1.8,-0.682926829268293
11900,-1.8,-0.682926829268293
12000,-1.8,-0.682926829268293
12100,-1.7,-0.582926829268293
12200,-1.7,-0.582926829268293
12300,-1.6,-0.482926829268293
12400,-1.6,-0.482926829268293
12500,-1.5,-0.382926829268293
12600,-1.6,-0.482926829268293
12700,-1.6,-0.482926829268293
12800,-1.5,-0.382926829268293
12900,-1.5,-0.382926829268293
13000,-1.5,-0.382926829268293
13100,-1.5,-0.382926829268293
13200,-1.4,-0.282926829268293
13300,-1.4,-0.282926829268293
13400,-1.4,-0.282926829268293
13500,-1.4,-0.282926829268293
13600,-1.4,-0.282926829268293
13700,-1.5,-0.382926829268293
13800,-1.5,-0.382926829268293
13900,-1.6,-0.482926829268293
14000,-2.1,-0.982926829268293
14100,-2.2,-1.08292682926829
14200,-2,-0.882926829268293
14300,-1.8,-0.682926829268293
14400,-1.7,-0.582926829268293
14500,-1.6,-0.482926829268293
14600,-1.6,-0.482926829268293
14700,-1.6,-0.482926829268293
14800,-1.7,-0.582926829268293
14900,-1.9,-0.782926829268293
15000,-2.2,-1.08292682926829
15100,-2.6,-1.48292682926829
15200,-2.6,-1.48292682926829
15300,-2.7,-1.58292682926829
15400,-2.8,-1.68292682926829
15500,-3,-1.88292682926829
15600,-2.6,-1.48292682926829
15700,-2.9,-1.78292682926829
15800,-3,-1.88292682926829
15900,-3,-1.88292682926829
16000,-3.5,-2.38292682926829
16100,-3.4,-2.28292682926829
16200,-2.4,-1.28292682926829
16300,-1.8,-0.682926829268293
16400,-2.4,-1.28292682926829
16500,-2.7,-1.58292682926829
16600,-2.5,-1.38292682926829
16700,-2,-0.882926829268293
16800,-2.2,-1.08292682926829
16900,-1.9,-0.782926829268293
17000,-2.6,-1.48292682926829
17100,-3.7,-2.58292682926829
17200,-4,-2.88292682926829
17300,-4.4,-3.28292682926829
17400,-4.6,-3.48292682926829
17500,-4.3,-3.18292682926829
17600,-3.5,-2.38292682926829
17700,-2.7,-1.58292682926829
17800,-1.9,-0.782926829268293
17900,-1.1,0.0170731707317071
18000,-0.9,0.217073170731707
18100,-0.8,0.317073170731707
18200,-0.7,0.417073170731707
18300,-0.7,0.417073170731707
18400,-2,-0.882926829268293
18500,-1.6,-0.482926829268293
18600,-0.7,0.417073170731707
18700,-0.6,0.517073170731707
18800,-0.6,0.517073170731707
18900,-0.6,0.517073170731707
19000,-0.7,0.417073170731707
19100,-0.8,0.317073170731707
19200,-0.7,0.417073170731707
19300,-0.6,0.517073170731707
19400,-0.6,0.517073170731707
19500,-0.5,0.617073170731707
19600,-0.5,0.617073170731707
19700,-0.6,0.517073170731707
19800,-0.9,0.217073170731707
19900,-1.4,-0.282926829268293
20000,-1.8,-0.682926829268293
20100,-2.2,-1.08292682926829
20200,-2.7,-1.58292682926829
20300,-3.1,-1.98292682926829
20400,-3.4,-2.28292682926829
20500,-3.6,-2.48292682926829
20600,-3.3,-2.18292682926829
20700,-3.2,-2.08292682926829
20800,-3,-1.88292682926829
20900,-2.9,-1.78292682926829
21000,-2.7,-1.58292682926829
21100,-2.6,-1.48292682926829
21200,-2.4,-1.28292682926829
21300,-2.4,-1.28292682926829
21400,-2.4,-1.28292682926829
21500,-2.5,-1.38292682926829
21600,-2.6,-1.48292682926829
21700,-2.6,-1.48292682926829
21800,-2.7,-1.58292682926829
21900,-2.8,-1.68292682926829
22000,-2.8,-1.68292682926829
22100,-2.6,-1.48292682926829
22200,-2.4,-1.28292682926829
22300,-2.2,-1.08292682926829
22400,-2,-0.882926829268293
22500,-1.8,-0.682926829268293
22600,-1.6,-0.482926829268293
22700,-1.4,-0.282926829268293
22800,-1.2,-0.0829268292682928
22900,-1.2,-0.0829268292682928
23000,-1.2,-0.0829268292682928
23100,-1.2,-0.0829268292682928
23200,-1.3,-0.182926829268293
23300,-1.3,-0.182926829268293
23400,-1.3,-0.182926829268293
23500,-1.3,-0.182926829268293
23600,-1.3,-0.182926829268293
23700,-1.2,-0.0829268292682928
23800,-1.1,0.0170731707317071
23900,-1.1,0.0170731707317071
24000,-1.2,-0.0829268292682928
24100,-1.3,-0.182926829268293
24200,-1.5,-0.382926829268293
24300,-1.6,-0.482926829268293
24400,-1.6,-0.482926829268293
24500,-1.7,-0.582926829268293
24600,-1.7,-0.582926829268293
24700,-1.7,-0.582926829268293
24800,-1.8,-0.682926829268293
24900,-1.8,-0.682926829268293
25000,-1.7,-0.582926829268293
