"Age","Temperature","Anomaly"
0,0,2.66585365853659
100,1,3.66585365853659
200,1,3.66585365853659
300,1,3.66585365853659
400,0.9,3.56585365853659
500,0.9,3.56585365853659
600,1.2,3.86585365853659
700,1.2,3.86585365853659
800,1.2,3.86585365853659
900,1.3,3.96585365853659
1000,0.9,3.56585365853659
1100,0.6,3.26585365853659
1200,0.6,3.26585365853659
1300,0.7,3.36585365853659
1400,0.6,3.26585365853659
1500,0.6,3.26585365853659
1600,0.5,3.16585365853659
1700,0.4,3.06585365853659
1800,0.1,2.76585365853659
1900,-0.3,2.36585365853659
2000,-0.5,2.16585365853659
2100,-0.1,2.56585365853659
2200,0.4,3.06585365853659
2300,0.4,3.06585365853659
2400,0.3,2.96585365853659
2500,0.1,2.76585365853659
2600,0,2.66585365853659
2700,-0.3,2.36585365853659
2800,-0.1,2.56585365853659
2900,0.1,2.76585365853659
3000,0.2,2.86585365853659
3100,0.5,3.16585365853659
3200,0.7,3.36585365853659
3300,0.7,3.36585365853659
3400,0.5,3.16585365853659
3500,0.5,3.16585365853659
3600,0.4,3.06585365853659
3700,0.2,2.86585365853659
3800,0.3,2.96585365853659
3900,0.6,3.26585365853659
4000,0.8,3.46585365853659
4100,0.9,3.56585365853659
4200,0.9,3.56585365853659
4300,0.8,3.46585365853659
4400,0.6,3.26585365853659
4500,0.3,2.96585365853659
4600,0.1,2.76585365853659
4700,0,2.66585365853659
4800,0.4,3.06585365853659
4900,0.8,3.46585365853659
5000,0.8,3.46585365853659
5100,0.7,3.36585365853659
5200,0.5,3.16585365853659
5300,0.5,3.16585365853659
5400,0.5,3.16585365853659
5500,0.4,3.06585365853659
5600,0.4,3.06585365853659
5700,0.3,2.96585365853659
5800,0.2,2.86585365853659
5900,0.1,2.76585365853659
6000,0.4,3.06585365853659
6100,0.6,3.26585365853659
6200,0.6,3.26585365853659
6300,0.7,3.36585365853659
6400,0.8,3.46585365853659
6500,0.6,3.26585365853659
6600,0.4,3.06585365853659
6700,0.4,3.06585365853659
6800,0.6,3.26585365853659
6900,0.7,3.36585365853659
7000,0.8,3.46585365853659
7100,0.9,3.56585365853659
7200,0.8,3.46585365853659
7300,0.6,3.26585365853659
7400,0.4,3.06585365853659
7500,0.2,2.86585365853659
7600,0.1,2.76585365853659
7700,0.3,2.96585365853659
7800,0.7,3.36585365853659
7900,0.7,3.36585365853659
8000,0.2,2.86585365853659
8100,-0.3,2.36585365853659
8200,-0.5,2.16585365853659
8300,-0.9,1.76585365853659
8400,-1.4,1.26585365853659
8500,-1.9,0.765853658536586
8600,-2,0.665853658536586
8700,-1.9,0.765853658536586
8800,-1.9,0.765853658536586
8900,-1.9,0.765853658536586
9000,-1.8,0.865853658536585
9100,-1.7,0.965853658536586
9200,-1.7,0.965853658536586
9300,-1.7,0.965853658536586
9400,-1.8,0.865853658536585
9500,-2.2,0.465853658536585
9600,-2.5,0.165853658536586
9700,-2.6,0.0658536585365854
9800,-2.7,-0.0341463414634147
9900,-2.9,-0.234146341463414
10000,-3.2,-0.534146341463415
10100,-3.3,-0.634146341463414
10200,-3.3,-0.634146341463414
10300,-3.2,-0.534146341463415
10400,-3.1,-0.434146341463415
10500,-3.1,-0.434146341463415
10600,-3,-0.334146341463414
10700,-2.9,-0.234146341463414
10800,-3,-0.334146341463414
10900,-3.1,-0.434146341463415
11000,-3.4,-0.734146341463414
11100,-3.6,-0.934146341463415
11200,-4,-1.33414634146341
11300,-4.3,-1.63414634146341
11400,-4.5,-1.83414634146341
11500,-4.2,-1.53414634146341
11600,-3.9,-1.23414634146341
11700,-4.3,-1.63414634146341
11800,-3.7,-1.03414634146341
11900,-4.1,-1.43414634146341
12000,-4,-1.33414634146341
12100,-3.9,-1.23414634146341
12200,-3.7,-1.03414634146341
12300,-3.6,-0.934146341463415
