"Age","Temperature","Anomaly"
700,0.4,0.1935
800,0.48,0.2735
900,0.56,0.3535
1000,0.64,0.4335
1100,0.72,0.5135
1200,0.8,0.5935
1300,0.6,0.3935
1400,0.4,0.1935
1500,0.2,-0.00649999999999989
1600,0,-0.2065
1700,-0.2,-0.4065
1800,-0.32,-0.5265
1900,-0.44,-0.6465
2000,-0.56,-0.7665
2100,-0.68,-0.8865
2200,-0.8,-1.0065
2300,-0.72,-0.9265
2400,-0.64,-0.8465
2500,-0.56,-0.7665
2600,-0.48,-0.6865
2700,-0.4,-0.6065
2800,-0.24,-0.4465
2900,-0.08,-0.2865
3000,0.08,-0.1265
3100,0.24,0.0335000000000001
3200,0.4,0.1935
3300,0.4,0.1935
3400,0.4,0.1935
3500,0.4,0.1935
3600,0.4,0.1935
3700,0.4,0.1935
3800,0.38,0.1735
3900,0.36,0.1535
4000,0.34,0.1335
4100,0.32,0.1135
4200,0.3,0.0935
4300,0.18,-0.0265
4400,0.06,-0.1465
4500,-0.06,-0.2665
4600,-0.18,-0.3865
4700,-0.3,-0.5065
4800,-0.16,-0.3665
4900,-0.02,-0.2265
5000,0.12,-0.0865
5100,0.26,0.0535
5200,0.4,0.1935
5300,0.24,0.0335
5400,0.08,-0.1265
5500,-0.08,-0.2865
5600,-0.24,-0.4465
5700,-0.4,-0.6065
5800,-0.42,-0.6265
5900,-0.44,-0.6465
6000,-0.46,-0.6665
6100,-0.48,-0.6865
6200,-0.5,-0.7065
6300,-0.4,-0.6065
6400,-0.3,-0.5065
6500,-0.2,-0.4065
6600,-0.1,-0.3065
6700,0,-0.2065
6800,-0.06,-0.2665
6900,-0.12,-0.3265
7000,-0.18,-0.3865
7100,-0.24,-0.4465
7200,-0.3,-0.5065
7300,-0.32,-0.5265
7400,-0.34,-0.5465
7500,-0.36,-0.5665
7600,-0.38,-0.5865
7700,-0.4,-0.6065
7800,-0.46,-0.6665
7900,-0.52,-0.7265
8000,-0.58,-0.7865
8100,-0.64,-0.8465
8200,-0.7,-0.9065
8300,-0.64,-0.8465
8400,-0.58,-0.7865
8500,-0.52,-0.7265
8600,-0.46,-0.6665
8700,-0.4,-0.6065
8800,-0.26,-0.4665
8900,-0.12,-0.3265
9000,0.02,-0.1865
9100,0.16,-0.0465
9200,0.3,0.0935
9300,0.38,0.1735
9400,0.46,0.2535
9500,0.54,0.3335
9600,0.62,0.4135
9700,0.7,0.4935
9800,0.72,0.5135
9900,0.74,0.5335
10000,0.76,0.5535
10100,0.78,0.5735
10200,0.8,0.5935
10300,0.8,0.5935
10400,0.8,0.5935
10500,0.8,0.5935
10600,0.8,0.5935
10700,0.8,0.5935
10800,0.74,0.5335
10900,0.68,0.4735
11000,0.62,0.4135
11100,0.56,0.3535
11200,0.5,0.2935
11300,0.4,0.1935
11400,0.3,0.0935
11500,0.2,-0.00649999999999995
11600,0.1,-0.1065
11700,0,-0.2065
11800,-0.32,-0.5265
11900,-0.64,-0.8465
12000,-0.96,-1.1665
12100,-1.28,-1.4865
12200,-1.6,-1.8065
