"Age","Temperature","Anomaly"
700,0.4,0.1935
800,0.48,0.2735
900,0.56,0.3535
1000,0.64,0.4335
1100,0.72,0.5135
1200,0.8,0.5935
1300,0.6,0.3935
1400,0.4,0.1935
1500,0.2,-0.00649999999999989
1600,0,-0.2065
1700,-0.2,-0.4065
1800,-0.32,-0.5265
1900,-0.44,-0.6465
2000,-0.56,-0.7665
2100,-0.68,-0.8865
2200,-0.8,-1.0065
2300,-0.72,-0.9265
2400,-0.64,-0.8465
2500,-0.56,-0.7665
2600,-0.48,-0.6865
2700,-0.4,-0.6065
2800,-0.24,-0.4465
2900,-0.08,-0.2865
3000,0.08,-0.1265
3100,0.24,0.0335000000000001
3200,0.4,0.1935
3300,0.4,0.1935
3400,0.4,0.1935
3500,0.4,0.1935
3600,0.4,0.1935
3700,0.4,0.1935
3800,0.38,0.1735
3900,0.36,0.1535
4000,0.34,0.1335
4100,0.32,0.1135
4200,0.3,0.0935
4300,0.18,-0.0265
4400,0.06,-0.1465
4500,-0.06,-0.2665
4600,-0.18,-0.3865
4700,-0.3,-0.5065
4800,-0.16,-0.3665
4900,-0.02,-0.2265
5000,0.12,-0.0865
5100,0.26,0.0535
5200,0.4,0.1935
5300,0.24,0.0335
5400,0.08,-0.1265
5500,-0.08,-0.2865
5600,-0.24,-0.4465
5700,-0.4,-0.6065
5800,-0.42,-0.6265
5900,-0.44,-0.6465
6000,-0.46,-0.6665
6100,-0.48,-0.6865
6200,-0.5,-0.7065
6300,-0.4,-0.6065
6400,-0.3,-0.5065
6500,-0.2,-0.4065
6600,-0.1,-0.3065
6700,0,-0.2065
6800,-0.06,-0.2665
6900,-0.12,-0.3265
7000,-0.18,-0.3865
7100,-0.24,-0.4465
7200,-0.3,-0.5065
7300,-0.32,-0.5265
7400,-0.34,-0.5465
7500,-0.36,-0.5665
7600,-0.38,-0.5865
7700,-0.4,-0.6065
7800,-0.46,-0.6665
7900,-0.52,-0.7265
8000,-0.58,-0.7865
8100,-0.64,-0.8465
8200,-0.7,-0.9065
8300,-0.64,-0.8465
8400,-0.58,-0.7865
8500,-0.52,-0.7265
8600,-0.46,-0.6665
8700,-0.4,-0.6065
8800,-0.26,-0.4665
8900,-0.12,-0.3265
9000,0.02,-0.1865
9100,0.16,-0.0465
9200,0.3,0.0935
9300,0.38,0.1735
9400,0.46,0.2535
9500,0.54,0.3335
9600,0.62,0.4135
9700,0.7,0.4935
9800,0.72,0.5135
9900,0.74,0.5335
10000,0.76,0.5535
10100,0.78,0.5735
10200,0.8,0.5935
10300,0.8,0.5935
10400,0.8,0.5935
10500,0.8,0.5935
10600,0.8,0.5935
10700,0.8,0.5935
10800,0.74,0.5335
10900,0.68,0.4735
11000,0.62,0.4135
11100,0.56,0.3535
11200,0.5,0.2935
11300,0.4,0.1935
11400,0.3,0.0935
11500,0.2,-0.00649999999999995
11600,0.1,-0.1065
11700,0,-0.2065
11800,-0.32,-0.5265
11900,-0.64,-0.8465
12000,-0.96,-1.1665
12100,-1.28,-1.4865
12200,-1.6,-1.8065
12300,-1.6,-1.8065
12400,-1.6,-1.8065
12500,-1.6,-1.8065
12600,-1.6,-1.8065
12700,-1.6,-1.8065
12800,-1.94,-2.1465
12900,-2.28,-2.4865
13000,-2.62,-2.8265
13100,-2.96,-3.1665
13200,-3.3,-3.5065
13300,-3.26,-3.4665
13400,-3.22,-3.4265
13500,-3.18,-3.3865
13600,-3.14,-3.3465
13700,-3.1,-3.3065
13800,-3.02,-3.2265
13900,-2.94,-3.1465
14000,-2.86,-3.0665
14100,-2.78,-2.9865
14200,-2.7,-2.9065
14300,-2.68,-2.8865
14400,-2.66,-2.8665
14500,-2.64,-2.8465
14600,-2.62,-2.8265
14700,-2.6,-2.8065
14800,-2.84,-3.0465
14900,-3.08,-3.2865
15000,-3.32,-3.5265
15100,-3.56,-3.7665
15200,-3.8,-4.0065
15300,-3.66,-3.8665
15400,-3.52,-3.7265
15500,-3.38,-3.5865
15600,-3.24,-3.4465
15700,-3.1,-3.3065
15800,-3.34,-3.5465
15900,-3.58,-3.7865
16000,-3.82,-4.0265
16100,-4.06,-4.2665
16200,-4.3,-4.5065
16300,-4.64,-4.8465
16400,-4.98,-5.1865
16500,-5.32,-5.5265
16600,-5.66,-5.8665
16700,-6,-6.2065
16800,-6.26,-6.4665
16900,-6.52,-6.7265
17000,-6.78,-6.9865
17100,-7.04,-7.2465
17200,-7.3,-7.5065
17300,-7.3,-7.5065
17400,-7.3,-7.5065
17500,-7.3,-7.5065
17600,-7.3,-7.5065
17700,-7.3,-7.5065
17800,-7.58,-7.7865
17900,-7.86,-8.0665
18000,-8.14,-8.3465
18100,-8.42,-8.6265
18200,-8.7,-8.9065
18300,-8.78,-8.9865
18400,-8.86,-9.0665
18500,-8.94,-9.1465
18600,-9.02,-9.2265
