"Center_win","Average"
600,-0.462716165413534
700,-0.522617511520737
800,-0.517805642633229
900,-0.536743951612903
1000,-0.576422287390029
1100,-0.527897034864777
1200,-0.60551724137931
1300,-0.620913382594417
1400,-0.659259259259259
1500,-0.653021442495127
1600,-0.669550734166119
1700,-0.702153846153846
1800,-0.567692307692308
1900,-0.653221052631579
2000,-0.673415384615385
2100,-0.64044
2200,-0.537391869918699
2300,-0.564510416666667
2400,-0.476306818181818
2500,-0.581768292682927
2600,-0.589166666666667
2700,-0.52877443545669
2800,-0.604492753623188
2900,-0.516425120772947
3000,-0.473308128544423
3100,-0.481225296442688
3200,-0.397128412537917
3300,-0.283623188405797
3400,-0.300728008088979
3500,-0.245487922705314
3600,-0.23866930171278
3700,-0.315190274841438
3800,-0.333418972332016
3900,-0.202727272727273
4000,-0.0638024556387184
4100,0.0672336220671095
4200,-0.0377458256029685
4300,-0.025805785123967
4400,-0.0554091939806226
4500,-0.0620598006644518
4600,-0.0175098814229249
4700,0.0672356215213358
4800,0.125909090909091
4900,0.0311286332714904
5000,-0.0678869047619048
5100,-0.135383022774327
5200,-0.0913981762917933
5300,-0.0821739130434783
5400,-0.0302857142857143
5500,0.0291304347826087
5600,0.0132298136645963
5700,0.0242451874366768
5800,0.0185106382978723
5900,-0.0886231884057971
6000,-0.206112730806608
6100,-0.272981366459627
6200,-0.238125
6300,-0.288723404255319
6400,-0.40109243697479
6500,-0.462063492063492
6600,-0.536021825396825
6700,-0.549432624113475
6800,-0.566561904761905
6900,-0.566419047619048
7000,-0.48327619047619
7100,-0.409161904761905
7200,-0.42281746031746
7300,-0.439255952380952
7400,-0.409795918367347
7500,-0.410455927051672
7600,-0.322087132725431
7700,-0.166279761904762
7800,-0.23672380952381
7900,-0.217219047619048
8000,-0.233138969873664
8100,-0.321201298701299
8200,-0.367420634920635
8300,-0.322740524781341
8400,-0.300892857142857
8500,-0.299737609329446
8600,-0.314190476190476
8700,-0.475714285714286
8800,-0.40360119047619
8900,-0.410262390670554
9000,-0.423148688046647
9100,-0.351360544217687
9200,-0.280396825396825
9300,-0.380813492063492
9400,-0.368862973760933
9500,-0.349285714285714
9600,-0.343581780538302
9700,-0.292666666666667
9800,-0.317074829931973
9900,-0.377410714285714
10000,-0.382089407191448
10100,-0.460408163265306
10200,-0.568385093167702
10300,-0.533476190476191
10400,-0.514965986394558
10500,-0.486
10600,-0.446514285714286
10700,-0.35952380952381
10800,-0.396428571428571
10900,-0.341856171039845
11000,-0.399751984126984
11100,-0.478571428571429
