"Center_win","Average"
600,-0.469548872180451
700,-0.532903225806452
800,-0.527586206896552
900,-0.545564516129032
1000,-0.585923753665689
1100,-0.539152818507657
1200,-0.617044334975369
1300,-0.632820197044335
1400,-0.669753086419753
1500,-0.658382066276803
1600,-0.676813499890423
1700,-0.707692307692308
1800,-0.570769230769231
1900,-0.652421052631579
2000,-0.671384615384615
2100,-0.6399
2200,-0.537626016260163
2300,-0.565208333333333
2400,-0.476704545454545
2500,-0.582215447154472
2600,-0.5875
2700,-0.526221772834513
2800,-0.6
2900,-0.512173913043478
3000,-0.470510396975425
3100,-0.475691699604743
3200,-0.387563195146613
3300,-0.272850241545894
3400,-0.291405460060667
3500,-0.237874396135266
3600,-0.23201581027668
3700,-0.309408033826639
3800,-0.328458498023715
3900,-0.2
4000,-0.0656504919687158
4100,0.0649693045160205
4200,-0.0426716141001855
4300,-0.0292355371900826
4400,-0.0560554524840239
4500,-0.0648746602234974
4600,-0.0229249011857707
4700,0.0619666048237477
4800,0.12020202020202
4900,0.0271976322996731
5000,-0.0681547619047619
5100,-0.136231884057971
5200,-0.0954407294832827
5300,-0.0921325051759834
5400,-0.039047619047619
5500,0.0285714285714286
5600,0.0162525879917184
5700,0.0259371833839919
5800,0.0205673758865248
5900,-0.0899585921325052
6000,-0.207580174927114
6100,-0.275776397515528
6200,-0.234722222222222
6300,-0.281155015197568
6400,-0.396358543417367
6500,-0.462698412698413
6600,-0.538988095238095
6700,-0.550151975683891
6800,-0.567809523809524
6900,-0.565714285714286
7000,-0.482761904761905
7100,-0.40647619047619
7200,-0.420634920634921
7300,-0.436309523809524
7400,-0.407288629737609
7500,-0.405673758865248
7600,-0.312563323201621
7700,-0.155059523809524
7800,-0.230285714285714
7900,-0.212571428571429
8000,-0.227891156462585
8100,-0.321103896103896
8200,-0.369642857142857
8300,-0.328474246841594
8400,-0.303968253968254
8500,-0.304761904761905
8600,-0.321809523809524
8700,-0.484126984126984
8800,-0.408730158730159
8900,-0.413216715257532
9000,-0.426433430515063
9100,-0.355102040816327
9200,-0.286111111111111
9300,-0.385515873015873
9400,-0.375801749271137
9500,-0.360714285714286
9600,-0.357142857142857
9700,-0.308761904761905
9800,-0.337026239067055
9900,-0.397222222222222
10000,-0.403304178814383
10100,-0.479203109815355
10200,-0.586749482401656
10300,-0.55
10400,-0.531486880466472
10500,-0.497619047619048
10600,-0.455619047619048
10700,-0.369047619047619
10800,-0.405952380952381
10900,-0.350534499514091
11000,-0.407043650793651
11100,-0.485714285714286
11200,-0.505760869565217
11300,-0.674166666666667
11400,-0.9
11500,-1.1225
11600,-1.38487854251012
11700,-1.78055555555556
11800,-2.08869047619048
11900,-2.44766081871345
12000,-2.70585317460317
12100,-2.98181401215457
12200,-3.28397565922921
12300,-3.40018975332068
12400,-3.46007714561234
12500,-3.57810993249759
12600,-3.67320261437908
12700,-3.75053037608486
12800,-3.75147058823529
12900,-3.67470588235294
13000,-3.70703953712633
13100,-3.68727097396336
13200,-3.59509803921569
13300,-3.47168494516451
13400,-3.35204386839482
13500,-3.22156862745098
13600,-3.09411764705882
13700,-3.01076769690927
13800,-2.99956427015251
13900,-3.06021390374332
14000,-3.03361344537815
14100,-3.06109391124871
14200,-3.14340770791075
14300,-3.32227579556413
14400,-3.56110056925996
14500,-3.736875
14600,-3.95272177419355
14700,-4.19485887096774
14800,-4.360546875
14900,-4.45317307692308
15000,-4.65
15100,-4.80137254901961
15200,-4.94915422885572
15300,-5.08666666666667
15400,-5.19818181818182
15500,-5.35178743961353
15600,-5.44985507246377
15700,-5.53304347826087
15800,-5.67394957983193
15900,-5.83775510204082
16000,-6.00612244897959
16100,-6.11619718309859
16200,-6.26272015655577
16300,-6.46007326007326
16400,-6.72935222672065
16500,-6.97186234817814
