BP	Vostok_shakun	Vostok_marcott	DomeF_marcott	DomeF_shakun	DomeC_shakun	Antarctica	SO136-GC11_shakun	SO136-GC11_marcott	MD97-2121	MD97-2020	Mount Honey	New Zealand	PC-6	KT92-17 Site 14	Composite MD01-2421; KR02-06 St A GC; KR02-06 St A MC	NW Pacific	GeoB 3313	GeoB 7139-2_marcott	GeoB 7139-2_shakun	ODP 1233_shakun	South America
500											8.457190502	8.457190502			17.67695122	17.67695122					
600	-0.469548872	-0.462716165				-0.466132519					8.63762865	8.63762865			17.76652439	17.76652439					
700	-0.532903226	-0.522617512			-0.466666667	-0.507395801					8.647358339	8.647358339			17.84793868	17.84793868					
800	-0.527586207	-0.517805643			-0.388888889	-0.478093579	14.60897436	14.60605769			8.707322142	12.64078473			17.91274499	17.91274499					
900	-0.545564516	-0.536743952			-0.311881188	-0.464729885	14.69871795	14.69163462			8.692573593	12.69430872	15.77395644		17.99144491	16.88270067	15.07361304				15.07361304
1000	-0.585923754	-0.576422287			-0.280616062	-0.480987368	14.78846154	14.77721154			8.678907736	12.7481936	15.86587091		18.03308565	16.94947828	15.12747662				15.12747662
1100	-0.539152819	-0.527897035			-0.221782178	-0.429610677	14.82098765	14.80888889			8.637399723	12.75575876	15.95269673		18.01498834	16.98384254	15.21796787				15.21796787
1200	-0.617044335	-0.605517241	0.333333333	0.333333333	-0.148148148	-0.140808612	14.7962963	14.78666667			8.594541187	12.72583472	15.99120879		18.07057292	17.03089085	15.25611547				15.25611547
1300	-0.632820197	-0.620913383	0.253333333	0.253333333	-0.207150715	-0.190843526	14.77160494	14.76444444			8.504834481	12.68029462	15.98721615		18.08817057	17.03769336	15.27432877				15.27432877
1400	-0.669753086	-0.659259259	0.173333333	0.173333333	-0.210087146	-0.238486565	14.85238095	14.84190476			8.451067627	12.71511778	15.90306122		18.0778418	16.99045151	15.24760577				15.24760577
1500	-0.658382066	-0.653021442	0.093333333	0.093333333	-0.264653465	-0.277878061	14.95952381	14.94428571			8.43823993	12.78068315	15.84830867		18.0069191	16.92761389	15.2294931				15.2294931
1600	-0.6768135	-0.669550734	0.013333333	0.013333333	-0.27	-0.317939513	15.06666667	15.04666667			8.44121103	12.85151479	15.82611111	22.58115942	17.99785047	18.801707	15.25061026				15.25061026
1700	-0.707692308	-0.702153846	-0.066666667	-0.066666667	-0.324	-0.373435897	15.11111111	15.09555556			8.419609554	12.87542541	15.91543478	22.61135266	17.99908647	18.84195797	15.25161546				15.25161546
1800	-0.570769231	-0.567692308	-0.146666667	-0.146666667	-0.440204082	-0.374399791	15.15555556	15.14444444			8.395212919	12.89840431	15.92708333	22.64154589	18.01137019	18.85999981	15.26397423				15.26397423
1900	-0.652421053	-0.653221053	-0.226666667	-0.226666667	-0.514007421	-0.454596572	15.2	15.19333333			8.400027496	12.93112028	15.99127451	22.67173913	18.06727083	18.91009482	15.25228763				15.25228763
2000	-0.671384615	-0.673415385	-0.306666667	-0.306666667	-0.578604224	-0.507347511	15.21075269	15.19978495			8.347707028	12.91941489	16.06862745	22.70193237	18.15779948	18.97611977	15.22300363				15.22300363
2100	-0.6399	-0.64044	-0.386666667	-0.386666667	-0.60825603	-0.532385873	15.22150538	15.20623656			8.38159288	12.93644494	16.12115385	22.7321256	18.26985071	19.04104339	15.17355797				15.17355797
2200	-0.537626016	-0.53739187	-0.466666667	-0.466666667	-0.629577594	-0.527585763	15.23225806	15.21268817			8.4185982	12.95451481	16.17254902	22.76231884	18.30741071	19.08075952	15.11112755				15.11112755
2300	-0.565208333	-0.564510417	-0.426666667	-0.426666667	-0.6594	-0.528490417	15.25208333	15.23583333			8.449766626	12.97922776	16.22083333	22.7813135	18.33330364	19.11181682	15.11229878	17.69308642	17.71851852		16.84130124
2400	-0.476704545	-0.476306818	-0.386666667	-0.386666667	-0.5718	-0.459628939	15.27291667	15.26083333			8.480892388	13.0048808	16.328474	22.79219884	18.42665748	19.18244344	15.11492504	17.73259259	17.75555556		16.86769106
2500	-0.582215447	-0.581768293	-0.346666667	-0.346666667	-0.57989899	-0.487443213	15.29375	15.28583333			8.51063867	13.030074	16.40855645	22.80308418	18.6247121	19.27878424	15.10136382	17.77209877	17.79259259		16.88868506
2600	-0.5875	-0.589166667	-0.306666667	-0.306666667	-0.530990099	-0.46419802	15.3	15.29266667			8.540384952	13.04435054	16.44645551	22.81396952	18.72333333	19.32791945	15.08946391	17.81160494	17.82962963		16.91023283
2700	-0.526221773	-0.528774435	-0.266666667	-0.266666667	-0.500891089	-0.417844126	15.3	15.29171429			8.546698163	13.04613748	16.3927698	22.82485486	18.81466667	19.34409711	15.11958137	17.85111111	17.86666667		16.94578638
2800	-0.6	-0.604492754	-0.186666667	-0.186666667	-0.478657866	-0.411296791	15.3	15.2907619			8.544948381	13.04523676	16.35802807	22.8357402	18.83081319	19.34152715	15.16331079	17.88975758	17.9030303		16.98536622
