BP,NW Pacific
500,17.67695122
600,17.76652439
700,17.84793868
800,17.91274499
900,16.88270067
1000,16.94947828
1100,16.98384254
1200,17.03089085
1300,17.03769336
1400,16.99045151
1500,16.92761389
1600,18.801707
1700,18.84195797
1800,18.85999981
1900,18.91009482
2000,18.97611977
2100,19.04104339
2200,19.08075952
2300,19.11181682
2400,19.18244344
2500,19.27878424
2600,19.32791945
2700,19.34409711
2800,19.34152715
2900,19.32012306
3000,19.28205005
3100,19.25944289
3200,19.284339
3300,19.31700887
3400,19.35038896
3500,19.3799419
3600,19.41538549
3700,19.45371053
3800,19.49419058
3900,19.53728944
4000,19.55770973
4100,19.58084353
4200,19.56982667
4300,19.5614457
4400,19.54607846
4500,19.52330017
4600,19.48559046
4700,19.47212145
4800,19.46920672
4900,19.45772496
5000,19.46791101
5100,19.50912587
5200,19.54184019
5300,19.57190272
5400,19.58475955
5500,19.61220223
5600,19.63414864
5700,19.66435937
5800,19.69542962
5900,19.72747156
6000,19.75383859
6100,19.78267384
6200,19.77448629
6300,19.8012862
6400,19.82463315
6500,19.88145212
6600,19.93793958
6700,20.00480114
6800,20.04158871
6900,20.07279637
7000,20.0940224
7100,20.14115867
7200,20.17298913
7300,20.18428929
7400,20.19138756
7500,20.20486354
7600,20.18507048
7700,20.22501494
7800,20.17264229
7900,20.1411495
8000,20.11333757
8100,20.02373014
8200,19.95379173
8300,19.90588612
8400,19.82629429
8500,19.72813977
8600,19.68194529
8700,19.58578106
8800,19.51331065
8900,19.46135552
9000,19.45246732
9100,19.41845576
9200,19.32190431
9300,19.21312324
9400,19.14041683
9500,19.06921974
9600,18.99310417
9700,18.90053754
9800,18.82656269
9900,18.72497777
10000,18.65274347
10100,18.58689956
10200,18.53960136
10300,18.40326935
10400,18.2318527
10500,18.04649409
10600,17.92857278
10700,17.78366309
10800,17.6311344
10900,17.46839414
11000,17.27793962
11100,17.08574044
11200,16.93880539
11300,16.78814037
11400,16.69679099
11500,17.02621687
11600,17.01576404
11700,16.99459
11800,16.952687
11900,16.95144538
12000,16.94062724
12100,16.8848555
12200,16.81678619
12300,16.75880459
12400,16.7295342
12500,16.69543574
12600,16.65248468
12700,16.60760821
12800,16.56273173
12900,16.49877159
13000,16.33186444
13100,16.25757381
13200,16.18642579
13300,16.12261055
13400,16.05879531
13500,16.00501066
13600,15.99221748
13700,15.98648313
13800,15.98633005
13900,15.94342935
14000,15.90205234
14100,15.86355991
14200,15.81823168
14300,15.74556028
14400,15.67288889
14500,15.60069968
14600,15.5295475
14700,15.44842381
14800,15.39008252
14900,15.38207971
15000,15.41537477
15100,15.40164603
15200,15.37988011
15300,15.37541481
15400,15.42422437
15500,15.47020988
15600,15.51558862
15700,15.56096735
15800,15.60634609
15900,15.6320961
16000,15.65613927
16100,15.68018243
16200,15.70422559
16300,15.72944824
16400,15.75861959
16500,15.78779095
16600,15.8169623
16700,15.87582743
16800,15.9376293
16900,15.99943118
17000,16.07519605
17100,16.16066402
17200,16.21478517
17300,16.26654688
17400,16.3183086
17500,16.36876186
17600,16.41837857
17700,16.46799529
17800,16.52544151
17900,16.60302079
18000,16.68060006
18100,16.75817933
18200,16.80052884
18300,16.80119973
18400,16.8035296
18500,16.81682565
18600,16.83183165
18700,16.82630769
18800,16.82453503
18900,16.8465959
19000,16.87160608
19100,16.92440428
19200,16.96767793
19300,17.00841298
19400,17.04684389
19500,17.08071258
19600,17.1053186
19700,17.12452886
19800,17.12305654
19900,17.12158422
20000,17.12919447
20100,17.13689646
20200,17.1073055
20300,17.06799852
20400,17.04588857
20500,17.03373253
20600,17.01724469
20700,16.99587207
20800,16.98625059
20900,17.03028008
21000,17.06963214
21100,17.07590816
21200,17.08218418
21300,17.08926059
21400,17.08859649
21500,17.07214912
21600,17.09193425
21700,17.11487003
21800,17.11828746
21900,17.11484709
22000,17.15269308
22100,17.21719422
22200,17.26949352
22300,17.30188457
22400,17.33244076
22500,17.35565749
22600,17.33922631
22700,17.32729053
22800,17.31535476
22900,17.31877904
23000,17.32512905
23100,17.31002271
23200,17.2913259
23300,17.29418873
23400,17.32136347
23500,17.3498685
23600,17.3816304
23700,17.41137396
23800,17.42478724
23900,17.43820052
24000,17.41321931
24100,17.38534819
24200,17.4056422
24300,17.39930177
24400,17.38250262
24500,17.35781356
24600,17.32598488
24700,17.28298909
24800,17.24242178
24900,17.20844015
25000,17.17575822
25100,17.2067613
25200,17.23776437
25300,17.2670014
25400,17.29784015
25500,17.31949582
25600,17.33592906
25700,17.33214442
25800,17.34290342
25900,17.32986556
26000,17.35889848
26100,17.37327073
26200,17.47464677
26300,17.49127048
26400,17.4941171
26500,17.47582988
26600,20.51931684
26700,20.48398115
26800,20.44864547
26900,20.41330978
27000,20.37797409
