BP,New Zealand
500,8.457190502
600,8.63762865
700,8.647358339
800,12.64078473
900,12.69430872
1000,12.7481936
1100,12.75575876
1200,12.72583472
1300,12.68029462
1400,12.71511778
1500,12.78068315
1600,12.85151479
1700,12.87542541
1800,12.89840431
1900,12.93112028
2000,12.91941489
2100,12.93644494
2200,12.95451481
2300,12.97922776
2400,13.0048808
2500,13.030074
2600,13.04435054
2700,13.04613748
2800,13.04523676
2900,13.06558283
3000,13.13781017
3100,12.62789939
3200,12.66333181
3300,12.68327704
3400,12.68676612
3500,12.69013053
3600,12.67003553
3700,12.63880764
3800,12.64590394
3900,12.65708202
4000,12.64542293
4100,12.63171746
4200,12.63467361
4300,12.62955555
4400,12.62156945
4500,12.6402269
4600,13.53607676
4700,13.57995686
4800,13.61432877
4900,13.64891622
5000,13.68399828
5100,13.68542811
5200,13.68189892
5300,13.68217325
5400,13.69176405
5500,13.70167603
5600,13.71987804
5700,13.72951109
5800,13.74001118
5900,13.74629478
6000,13.75622458
6100,13.77719075
6200,13.78427407
6300,13.79279007
6400,13.8104801
6500,13.82064309
6600,13.82307655
6700,13.83597925
6800,13.8486442
6900,13.86470868
7000,13.87643798
7100,13.87532972
7200,13.88971943
7300,13.91121185
7400,13.91211716
7500,13.90528903
7600,13.91181044
7700,13.93070995
7800,13.93712997
7900,13.94788285
8000,13.94103317
8100,13.96567895
8200,13.99297513
8300,14.00460779
8400,14.0003605
8500,14.01663968
8600,14.00325055
8700,13.97579971
8800,13.97303276
8900,14.00232423
9000,14.02390956
9100,14.02732382
9200,14.05367645
9300,14.09332517
9400,14.12027296
9500,14.13111006
9600,14.13874362
9700,14.14997625
9800,14.17074434
9900,14.20706581
10000,14.20971693
10100,14.18132765
10200,14.14437244
10300,14.09812332
10400,14.06909706
10500,14.10899572
10600,14.12022732
10700,14.11442055
10800,14.14078745
10900,14.15892768
11000,14.16157212
11100,14.16629136
11200,14.1715581
11300,14.15261314
11400,14.12428927
11500,14.12100094
11600,14.11409699
11700,14.23536628
11800,14.19090428
11900,16.42734357
12000,16.39776225
12100,16.37820823
12200,16.34854309
12300,16.3235337
12400,16.28108781
12500,16.22798933
12600,16.17108224
12700,16.09714048
12800,16.02473791
12900,15.9213631
13000,15.87533068
13100,15.82719795
13200,15.78470085
13300,15.69677464
13400,15.62578142
13500,15.56758343
13600,15.50805455
13700,15.45550295
13800,15.39689604
13900,15.34729313
14000,15.29256037
14100,15.23550609
14200,15.16690944
14300,15.11737794
14400,15.07293752
14500,15.02611607
14600,14.99399072
14700,14.95549527
14800,14.8715555
14900,14.78154018
15000,14.7647619
15100,14.7263667
15200,14.68671131
15300,14.65176978
15400,14.62052083
15500,14.60013393
15600,14.55967218
15700,14.51517678
15800,14.47289369
15900,14.42966299
16000,14.40454044
16100,14.3772796
16200,14.35085784
16300,14.33040914
16400,14.30188513
16500,14.29374847
16600,14.29236979
16700,14.29156496
16800,14.27911458
16900,14.26810764
17000,14.25930013
17100,14.2691016
17200,14.27139218
17300,14.19316619
17400,14.08819388
17500,14.00793616
17600,13.94593358
17700,13.87649671
17800,13.79790117
17900,13.72799759
18000,13.6535962
18100,13.57646104
18200,13.49505357
18300,13.37631218
18400,13.17698083
18500,12.97890381
18600,12.86322826
18700,12.76186842
18800,12.68960071
18900,12.6278046
19000,12.586607
19100,12.46982323
19200,12.33162511
19300,12.1227259
19400,11.92154132
19500,11.90409412
19600,11.90593063
19700,11.90850216
19800,11.91113445
19900,11.91021868
20000,11.91020913
20100,11.91467373
20200,11.90001056
20300,11.88533421
20400,11.84706616
20500,11.81225163
20600,11.7858396
20700,11.74630631
20800,11.71814042
