BP,South America
900,15.07361304
1000,15.12747662
1100,15.21796787
1200,15.25611547
1300,15.27432877
1400,15.24760577
1500,15.2294931
1600,15.25061026
1700,15.25161546
1800,15.26397423
1900,15.25228763
2000,15.22300363
2100,15.17355797
2200,15.11112755
2300,16.84130124
2400,16.86769106
2500,16.88868506
2600,16.91023283
2700,16.94578638
2800,16.98536622
2900,17.0128373
3000,17.03921805
3100,17.06723511
3200,17.08828984
3300,17.12314589
3400,17.16069132
3500,17.19943017
3600,17.23298749
3700,17.25451463
3800,17.28692536
3900,17.31884618
4000,17.33843178
4100,17.34876009
4200,17.36047066
4300,17.37293925
4400,17.37976788
4500,17.38751959
4600,17.40063611
4700,17.42371693
4800,17.45912418
4900,17.49960268
5000,17.5419752
5100,17.58018457
5200,17.60175356
5300,17.630374
5400,17.65133503
5500,17.67267264
5600,17.69458814
5700,17.72601732
5800,17.74580428
5900,17.75215074
6000,17.74798573
6100,17.73538775
6200,17.72842909
6300,17.72211453
6400,18.80697531
6500,18.81932099
6600,18.83166667
6700,18.84257576
6800,18.85348485
6900,18.86439394
7000,18.87530303
7100,18.88621212
7200,18.89768519
7300,18.90972222
7400,18.92175926
7500,18.9337963
7600,18.94583333
7700,18.95790123
7800,18.97024691
7900,18.98259259
8000,18.99493827
8100,19.00728395
8200,19.01962963
8300,19.01972727
8400,19.01457576
8500,19.00942424
8600,19.00427273
8700,18.99912121
8800,18.99290123
8900,18.98240741
9000,18.97191358
9100,18.96141975
9200,18.95092593
9300,18.9404321
9400,18.93166667
9500,18.92333333
9600,18.915
9700,18.90666667
9800,18.89833333
9900,18.89297222
10000,18.8945463
10100,18.89612037
10200,18.89769444
10300,18.89926852
10400,18.90084259
10500,18.88686364
10600,18.87115657
10700,18.85544949
10800,17.73659692
10900,17.69313853
11000,17.67734136
11100,17.66245694
11200,17.64504611
11300,17.61307422
11400,17.60758454
11500,17.54297789
11600,17.47818809
11700,17.43248573
11800,17.36908945
11900,17.31734927
12000,17.25862037
12100,17.20027103
12200,17.12171228
12300,17.00037601
12400,16.89133177
12500,16.78893761
12600,16.68502604
12700,16.57881033
12800,16.52328473
12900,16.46443047
13000,16.42817147
13100,16.36770181
13200,16.2918906
13300,16.24335774
13400,16.22644214
13500,16.22165337
13600,16.22693898
13700,15.49278669
13800,15.46668549
13900,15.44782433
14000,15.44014383
14100,15.42247591
14200,15.40567022
14300,15.35627319
14400,15.3135436
14500,15.27829314
14600,15.23284248
14700,15.19271015
14800,15.16728508
14900,15.16188304
15000,15.13735407
15100,15.06475302
15200,14.99215197
15300,14.94452079
15400,14.92665816
15500,14.86135654
15600,14.80070773
15700,14.74525862
15800,14.68719319
15900,14.61424431
16000,14.55572707
16100,14.52006481
16200,14.48406045
16300,14.45379428
16400,14.41277296
16500,14.39852439
16600,14.34156469
16700,14.2744916
16800,14.23273283
16900,14.21399837
17000,14.1807583
17100,14.17103748
17200,14.14186327
17300,14.05956527
17400,14.00271799
17500,13.95009553
17600,13.88974681
17700,13.81271508
17800,13.71986288
17900,13.62910293
18000,13.50051998
18100,13.3173841
18200,13.14120545
18300,12.98603939
18400,12.85420168
18500,12.7361904
18600,12.67206743
18700,12.59154023
18800,12.53201325
18900,12.44799107
19000,12.37420814
19100,12.32585814
19200,12.33262184
19300,12.38815299
19400,12.43330835
19500,12.47238264
19600,12.50410314
19700,12.53873834
19800,12.5732826
19900,12.60499834
20000,12.6281746
20100,12.63896586
20200,12.66061593
20300,12.67645205
20400,12.69226077
20500,12.66565058
20600,12.62451516
20700,12.57938899
20800,12.53777778
20900,12.53083333
21000,12.49641731
21100,12.39776474
21200,12.3
21300,12.23684371
21400,12.19526898
21500,12.15486442
21600,12.19858059
21700,12.20742424
21800,12.19436813
21900,12.14344886
22000,12.08385461
22100,11.9905889
22200,11.88598356
22300,11.85607993
22400,11.85610414
22500,11.83289322
22600,11.82763607
