age,temp
14,26.8
174,26.9
326,26.7
396,26.7
492,27
635,26.8
785,26.7
967,26.9
1178,27
1357,26.8
1539,26.7
1759,26.8
1882,26.8
2064,26.4
2221,26.7
2337,26.5
2438,26.7
2541,26.6
2671,26.4
2819,26.4
2945,26.7
3127,26.5
3263,26.7
3538,26.7
3717,26.4
3872,26.5
4065,26.5
4262,26.6
4468,26.7
4639,26.5
4769,26.6
4940,26.5
5148,26.5
5347,26.6
5536,26.7
5697,26.8
5882,26.6
6008,26.7
6125,26.4
6208,26.6
6311,26.5
6433,26.5
6534,26.3
6673,26.2
6803,26.3
6876,26
7034,26.3
7207,26
7344,26.2
7532,26.3
7772,25.9
8009,25.9
8170,25.7
8366,26.1
8471,25.8
8611,25.8
8783,25.5
8961,25.5
9144,25.6
9299,25.3
9416,25.5
9472,25.3
9553,25
9606,25.2
9683,25.2
9733,25.1
9807,24.8
9855,25.2
9927,25.3
9950,25
9997,25
10045,25.3
10092,25.3
10164,25.4
10211,25.1
10309,25
10359,25
10436,24.8
10488,24.6
10542,24.7
10597,24.9
10682,24.8
10712,24.7
10772,24.7
10865,24.6
10930,24.6
11032,24.4
11102,24.3
11174,24.8
11267,24.6
11324,24.3
11401,24.3
11480,24.4
11560,24.4
11748,23.9
11827,23.9
11946,24.5
12025,24.1
12104,24.2
12183,24.3
12242,23.9
12321,24
12420,24.1
12519,23.7
12578,24
12657,24
12736,24
12776,24.4
12835,24.5
12934,24.1
13013,24.2
13112,24.1
13211,24.3
13231,24.6
13329,24.6
13428,24.3
13507,24.3
13606,24.2
13645,24.5
13724,24.4
13902,24.1
14100,24.2
14219,24.2
14396,24.2
14515,24.3
14740,23.9
15140,23.6
15806,23.5
16473,23.5
17139,23.3
17805,23.3
18405,23.5
18805,23.2
19138,23.4
19737,23.1
20404,23.1
21070,23
21470,23.5
22003,22.5
22669,23.3
23145,23.1
23617,23.2
24055,23.5
24492,23.6
24930,23.2
25280,23.2
25718,23.1
26068,23.4
26418,22.8
26768,23
27031,23.5
27470,23.6
27956,23.6
28408,23.3
28468,23.7
28529,23.1
29220,23.6
29439,23.5
29877,23.6
30425,23.3
30864,23.3
31083,23.5
31595,23.3
31889,23.8
32250,23.4
32449,23.6
32782,23.3
32981,23.6
33150,23.5
33285,23.9
33654,23.6
34447,23.6
35102,23.6
35588,23.5
36426,23.4
36723,23.5
37421,23.3
38170,23.4
38634,23.5
38947,23.2
39516,23.4
39928,23
40201,23.3
40336,23.3
40539,23.1
40637,23.3
40761,23.6
40823,23.7
40978,23.5
41081,24.5
