age,temp
3389,28.1
3751,28.2
4114,28.2
4476,28.2
4838,28.1
5200,28.1
5563,28
5925,28.1
6287,28.1
6650,28.1
7012,27.9
7737,27.8
8099,27.8
8433,27.7
8740,27.7
9047,27.7
9303,27.5
9407,27.4
9510,27.5
9717,27.7
9923,27.6
10130,27.6
10337,27.7
10440,27.5
10543,27.3
10647,27.4
10750,27.4
10957,27.5
11060,27.3
11163,27.1
11267,27.2
11370,26.9
11577,26.7
11780,26.7
11981,26.8
12082,26.7
12182,26.6
12383,26.6
12584,26.6
12684,26.8
12785,26.8
12985,26.8
13186,26.7
13387,26.9
13588,26.9
13688,26.8
13789,27
13889,27.1
13990,26.8
14090,26.8
14170,26.9
14249,26.9
14328,27.1
14408,26.9
14488,26.9
14567,26.4
14726,26
14806,26.1
14885,26.1
