age,temp
200,27.3
400,27.36
600,27.27
820,27.36
1030,27.12
1250,27.21
1460,27.03
1680,27.12
1890,27.03
2100,26.91
2320,26.82
2530,27.15
2750,27.03
2960,27.18
3310,26.97
3650,26.88
4000,26.97
4340,27.03
4690,27.21
5040,27.09
5380,27.33
5730,27.24
6120,27.21
6920,26.7
7310,27.06
7710,26.82
8110,26.91
8370,26.97
8630,26.97
8880,26.64
9140,26.91
9470,26.7
9800,26.67
10140,26.7
10470,26.58
10800,26.7
11130,26.42
11460,26.55
11690,26.36
11920,26.33
12150,26.21
12380,26.15
12610,26.18
12840,26.12
13080,26.21
13360,26.39
13650,26.15
13940,26.3
14230,26.15
14520,25.73
14800,25.85
