age,temp
200,27.3
400,27.4
600,27.3
820,27.4
1030,27.1
1250,27.2
1460,27
1680,27.1
1890,27
2100,26.9
2320,26.8
2530,27.2
2750,27
2960,27.2
3310,27
3650,26.9
4000,27
4340,27
4690,27.2
5040,27.1
5380,27.3
5730,27.2
6120,27.2
6920,26.7
7310,27.1
7710,26.8
8110,26.9
8370,27
8630,27
8880,26.6
9140,26.9
9470,26.7
9800,26.7
10140,26.7
10470,26.6
10800,26.7
11130,26.4
11460,26.6
11690,26.4
11920,26.3
12150,26.2
12380,26.2
12610,26.2
12840,26.1
13080,26.2
13360,26.4
13650,26.2
13940,26.3
14230,26.2
14520,25.7
14800,25.9
15130,25.6
15350,25.6
15630,25.2
15900,25.2
16180,25.2
16540,25.1
16890,25.2
17250,25
17610,24.9
17960,24.9
18320,24.9
18680,25
18790,25.1
18910,25.2
19040,25.2
19160,25.1
19290,25
19420,25.1
19550,25.1
19680,24.9
20290,25.1
20900,24.9
21500,25.1
22110,25.2
22720,25.2
