age,temp
1990,14.1
2160,14.7
2300,15.9
2430,15.7
2540,15.9
2710,14.8
2870,13.8
3050,14.4
3230,15.6
3370,14.4
3550,15.3
3770,15.8
3950,15.7
4130,16.5
4310,16.1
4490,15.6
4690,16.2
4930,16.1
5290,16.8
5730,16.7
6170,16.6
6490,16.6
6680,16.5
6870,16.6
7060,16.5
7220,15.6
7280,15.9
7330,15.6
7420,15.2
7510,15.3
7550,15.4
7650,15.5
7780,14.1
7850,14.4
7980,16.2
8120,16
8180,16.1
8310,15
8450,14.6
8520,14.8
8620,15.5
8680,15
8790,15
8850,15.6
8950,14.7
10810,10.7
10870,9.7
10950,10.4
11010,10.1
11090,10.3
11370,10.9
