age,temp
107,28.28
152,27.93
197,27.89
242,27.54
288,27.25
333,28.01
378,28.56
423,28.3
468,29.21
513,27.57
558,29.06
603,28.71
648,28.15
693,28.22
793,28.53
947,27.91
1101,27.84
1255,28.18
1408,28.75
1562,28.37
1716,29.15
1870,28.1
2024,28.38
2178,27.56
2312,28.36
2413,27.89
2514,29.03
2615,28.64
2817,28.4
2918,28.45
3019,28.2
3120,28.67
3221,28.41
3322,28.52
3423,28.66
3524,28.44
3625,28.19
3726,28.48
3827,27.99
3928,28.24
4029,28.9
4139,27.78
4265,28.11
4391,28.43
4517,28.25
4642,28.79
4768,28.77
4894,28.69
4968,28.42
5041,28.65
5115,28.05
5189,29.19
5263,27.86
5336,29.08
5410,27.72
5484,28.49
5557,28.83
5631,28.65
5715,28.94
5798,28.45
5882,28.08
5955,27.99
6049,28.68
6132,28.83
6216,28.92
6299,28.73
6477,28.96
6588,28.25
6699,29.09
6811,28.49
6922,28.5
7145,28.36
7256,28.94
7367,28.85
7479,28.48
7651,29.18
8359,28.45
8713,28.65
9067,28.34
9421,28.15
9775,28.27
10129,28.65
10483,27.64
10837,28.01
11191,27.91
11523,28.25
11856,27.4
12188,28.05
12852,27.93
13185,27.56
13517,27.3
13849,26.87
13988,27.57
14126,26.79
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10515.15,
10556.54,
