age,temp
0,0
100,0.1
200,-0.1
300,-0.5
400,-0.4
500,-0.1
600,-0.3
700,-0.1
800,0.2
900,0.2
1000,0
1100,0
1200,-0.1
1300,-0.2
1400,0
1500,0.2
1600,0.1
1700,0
1800,-0.1
1900,0
2000,-0.1
2100,-0.2
2200,-0.1
2300,-0.1
2400,-0.1
2500,-0.1
2600,-0.1
2700,-0.1
2800,-0.1
2900,-0.1
3000,-0.1
3100,-0.1
3200,0
3300,0
3400,0.1
3500,0.1
3600,0.1
3700,0.1
3800,0.1
3900,0.1
4000,0
4100,0
4200,-0.1
4300,-0.1
4400,-0.2
4500,-0.2
4600,-0.3
4700,-0.3
4800,-0.3
4900,-0.3
5000,-0.3
5100,-0.3
5200,-0.2
5300,-0.1
5400,-0.1
5500,0
5600,0.1
5700,-0.1
5800,-0.4
5900,-0.5
6000,-0.5
6100,-0.3
6200,-0.1
6300,-0.1
6400,-0.2
6500,0
6600,0
6700,0
6800,0.1
6900,-0.1
7000,-0.3
7100,-0.5
7200,-0.6
7300,-0.7
7400,-0.5
7500,-0.3
7600,-0.3
7700,-0.1
7800,-0.2
7900,-0.6
8000,-0.4
8100,0.1
8200,-0.4
8300,-0.3
8400,-0.1
8500,-0.3
8600,-0.7
8700,-0.8
8800,-0.6
8900,-0.5
9000,-0.7
9100,-0.9
9200,-1.1
9300,-1.1
9400,-1
9500,-1
9600,-1
9700,-1
9800,-1.2
9900,-1.4
10000,-1.6
10100,-1.4
10200,-1.2
10300,-1
10400,-0.9
10500,-1
10600,-1.2
10700,-1.3
10800,-1.3
10900,-1.3
11000,-1.6
11100,-1.7
11200,-1.8
11300,-1.8
11400,-1.8
11500,-1.7
11600,-1.7
11700,-1.7
11800,-1.8
11900,-1.8
12000,-1.8
12100,-1.7
12200,-1.7
12300,-1.6
12400,-1.6
12500,-1.5
12600,-1.6
12700,-1.6
12800,-1.5
12900,-1.5
13000,-1.5
13100,-1.5
13200,-1.4
13300,-1.4
13400,-1.4
13500,-1.4
13600,-1.4
13700,-1.5
13800,-1.5
13900,-1.6
14000,-2.1
14100,-2.2
14200,-2
14300,-1.8
14400,-1.7
14500,-1.6
14600,-1.6
14700,-1.6
14800,-1.7
14900,-1.9
15000,-2.2
15100,-2.6
15200,-2.6
15300,-2.7
15400,-2.8
15500,-3
15600,-2.6
15700,-2.9
15800,-3
15900,-3
16000,-3.5
16100,-3.4
16200,-2.4
16300,-1.8
16400,-2.4
16500,-2.7
16600,-2.5
16700,-2
16800,-2.2
16900,-1.9
17000,-2.6
17100,-3.7
17200,-4
17300,-4.4
17400,-4.6
17500,-4.3
17600,-3.5
17700,-2.7
17800,-1.9
17900,-1.1
18000,-0.9
18100,-0.8
18200,-0.7
18300,-0.7
18400,-2
18500,-1.6
18600,-0.7
18700,-0.6
18800,-0.6
18900,-0.6
19000,-0.7
19100,-0.8
19200,-0.7
19300,-0.6
19400,-0.6
19500,-0.5
19600,-0.5
19700,-0.6
19800,-0.9
19900,-1.4
20000,-1.8
20100,-2.2
20200,-2.7
20300,-3.1
20400,-3.4
20500,-3.6
20600,-3.3
20700,-3.2
20800,-3
20900,-2.9
21000,-2.7
21100,-2.6
21200,-2.4
21300,-2.4
21400,-2.4
21500,-2.5
21600,-2.6
21700,-2.6
21800,-2.7
21900,-2.8
22000,-2.8
22100,-2.6
22200,-2.4
22300,-2.2
22400,-2
22500,-1.8
22600,-1.6
22700,-1.4
22800,-1.2
22900,-1.2
23000,-1.2
23100,-1.2
23200,-1.3
23300,-1.3
23400,-1.3
23500,-1.3
23600,-1.3
23700,-1.2
23800,-1.1
23900,-1.1
24000,-1.2
24100,-1.3
24200,-1.5
24300,-1.6
24400,-1.6
24500,-1.7
24600,-1.7
24700,-1.7
24800,-1.8
24900,-1.8
25000,-1.7
