age,temp
0,0
100,1
200,1
300,1
400,0.9
500,0.9
600,1.2
700,1.2
800,1.2
900,1.3
1000,0.9
1100,0.6
1200,0.6
1300,0.7
1400,0.6
1500,0.6
1600,0.5
1700,0.4
1800,0.1
1900,-0.3
2000,-0.5
2100,-0.1
2200,0.4
2300,0.4
2400,0.3
2500,0.1
2600,0
2700,-0.3
2800,-0.1
2900,0.1
3000,0.2
3100,0.5
3200,0.7
3300,0.7
3400,0.5
3500,0.5
3600,0.4
3700,0.2
3800,0.3
3900,0.6
4000,0.8
4100,0.9
4200,0.9
4300,0.8
4400,0.6
4500,0.3
4600,0.1
4700,0
4800,0.4
4900,0.8
5000,0.8
5100,0.7
5200,0.5
5300,0.5
5400,0.5
5500,0.4
5600,0.4
5700,0.3
5800,0.2
5900,0.1
6000,0.4
6100,0.6
6200,0.6
6300,0.7
6400,0.8
6500,0.6
6600,0.4
6700,0.4
6800,0.6
6900,0.7
7000,0.8
7100,0.9
7200,0.8
7300,0.6
7400,0.4
7500,0.2
7600,0.1
7700,0.3
7800,0.7
7900,0.7
8000,0.2
8100,-0.3
8200,-0.5
8300,-0.9
8400,-1.4
8500,-1.9
8600,-2
8700,-1.9
8800,-1.9
8900,-1.9
9000,-1.8
9100,-1.7
9200,-1.7
9300,-1.7
9400,-1.8
9500,-2.2
9600,-2.5
9700,-2.6
9800,-2.7
9900,-2.9
10000,-3.2
10100,-3.3
10200,-3.3
10300,-3.2
10400,-3.1
10500,-3.1
10600,-3
10700,-2.9
10800,-3
10900,-3.1
11000,-3.4
11100,-3.6
11200,-4
11300,-4.3
11400,-4.5
11500,-4.2
11600,-3.9
11700,-4.3
11800,-3.7
11900,-4.1
12000,-4
12100,-3.9
12200,-3.7
12300,-3.6
12400,-3.5
12500,-3.4
12600,-3.7
12700,-3.7
12800,-4
12900,-4.6
13000,-4.5
13100,-3.7
13200,-3
13300,-2.3
13400,-2.2
13500,-2.6
13600,-3
13700,-3.3
13800,-3.6
13900,-3.5
14000,-3.4
14100,-3.4
14200,-3.2
14300,-3.8
14400,-4.7
14500,-5.3
14600,-5.9
14700,-5.4
14800,-4.7
14900,-3.9
15000,-3.2
15100,-3
15200,-3
15300,-3
15400,-3.1
15500,-3.3
15600,-3.4
15700,-3.5
15800,-3.7
15900,-3.8
16000,-3.8
16100,-3.9
16200,-4
16300,-4
16400,-4.1
16500,-4.2
16600,-4.4
16700,-4.5
16800,-4.7
16900,-4.9
17000,-4.9
17100,-4.8
17200,-4.8
17300,-4.7
17400,-4.7
17500,-4.7
17600,-4.5
17700,-4.2
17800,-3.8
17900,-3.5
18000,-3.2
18100,-3
18200,-3.3
18300,-3.3
18400,-3.3
18500,-3.3
18600,-3.3
18700,-3.3
18800,-3.3
18900,-3.3
19000,-3.3
