age,temp
0,0
100,0.2
200,-0.1
300,-0.2
400,-0.4
500,-0.4
600,-0.4
700,-0.2
800,-0.1
900,-0.2
1000,-0.1
1100,-0.1
1200,-0.1
1300,-0.3
1400,-0.3
1500,-0.3
1600,-0.2
1700,-0.2
1800,-0.2
1900,-0.2
2000,-0.1
2100,0
2200,0.1
2300,0.2
2400,0.1
2500,0
2600,0
2700,0
2800,-0.1
2900,-0.1
3000,0.1
3100,0.2
3200,0.1
3300,0.3
3400,0.2
3500,-0.1
3600,-0.2
3700,-0.2
3800,-0.1
3900,0
4000,0.1
4100,0.1
4200,0
4300,-0.1
4400,-0.1
4500,-0.1
4600,-0.2
4700,-0.1
4800,0.1
4900,0.4
5000,0.4
5100,0.3
5200,0.3
5300,0.1
5400,0
5500,0.1
5600,-0.1
5700,-0.2
5800,-0.1
5900,0.1
6000,0.1
6100,0.3
6200,0.4
6300,0.6
6400,0.4
6500,0.3
6600,0.2
6700,0.2
6800,0.2
6900,0.3
7000,0.3
7100,0.5
7200,0.5
7300,0.5
7400,0.5
7500,0.5
7600,0.5
7700,0.2
7800,0
7900,-0.4
8000,-0.9
8100,-1.2
8200,-1.4
8300,-1.8
8400,-2.1
8500,-2.1
8600,-1.9
8700,-1.9
8800,-1.7
8900,-1.6
9000,-0.7
9100,-0.6
9200,-1.1
9300,-1.2
9400,-1
9500,-1.2
9600,-1.3
9700,-1.4
9800,-1.3
9900,-1.3
10000,-1.3
10100,-1.3
10200,-1.3
10300,-1.5
10400,-2
10500,-2.3
10600,-2.8
10700,-3.5
10800,-3
10900,-3.7
11000,-3.9
11100,-2.6
11200,-2.9
11300,-2.2
11400,-2.3
11500,-3.1
11600,-4
11700,-4.8
11800,-4.8
11900,-4.8
12000,-4.5
12100,-4.1
12200,-4.3
12300,-4.3
12400,-4.1
12500,-4
12600,-4
12700,-4
12800,-4.1
12900,-4.1
13000,-3.9
13100,-4
13200,-4.4
13300,-4.8
13400,-4.8
13500,-4.2
13600,-4.2
13700,-4.3
13800,-4.4
13900,-4.5
14000,-4.2
14100,-4.2
14200,-4.2
14300,-4.2
14400,-4.2
14500,-4.2
14600,-4.2
14700,-4.2
14800,-4.2
14900,-4.2
15000,-4.2
15100,-4.3
15200,-4.3
15300,-4.3
15400,-4.3
15500,-4.4
15600,-4.4
15700,-4.4
15800,-4.4
15900,-4.4
16000,-4.4
16100,-4.4
16200,-4.4
16300,-4.4
16400,-4.4
16500,-4.3
16600,-4.3
16700,-4.3
16800,-4.2
16900,-4.2
17000,-4.1
17100,-4
17200,-4
17300,-4.2
17400,-4.5
17500,-4.8
17600,-5.2
17700,-5.5
17800,-5.6
17900,-5.5
18000,-5.4
18100,-5.3
18200,-5.2
18300,-3.4
18400,-3.4
18500,-3.4
18600,-3.4
18700,-3.3
18800,-3.3
18900,-3.3
19000,-3.3
19100,-3.3
19200,-3.2
19300,-3.2
19400,-3.1
19500,-3.1
19600,-3.2
19700,-3.3
19800,-3.4
19900,-3.4
20000,-3.3
20100,-3.3
20200,-3.3
20300,-3.3
20400,-3.3
20500,-3.3
20600,-3.2
20700,-3.1
20800,-3
20900,-3
21000,-3.2
21100,-3.4
21200,-3.5
21300,-3.6
21400,-3.6
21500,-3.7
21600,-3.8
21700,-3.9
21800,-4
21900,-3.5
22000,-2.9
22100,-2.4
22200,-1.8
22300,-1.2
22400,-0.6
22500,0
