age,temp
44,10
273,10.2
914,10.2
1820,10.2
2518,9.9
3216,10.2
3914,10.1
4613,10.4
5311,10.1
5834,10.3
6533,10.7
7615,10.6
8313,10.5
9011,10.4
9611,10
10113,9.6
10614,9.8
10815,9.4
11116,10
11317,10.4
11618,9.6
11818,9.4
12019,10.2
12119,10.5
12320,11
12621,10.7
12771,10.4
12872,10.5
13022,9.9
13122,10.1
13223,9.3
13373,9.9
13524,9.9
13624,10
13724,10
13875,9.7
14339,8.3
14632,8
14730,8.4
14828,8.4
15316,8.1
15602,8.7
15772,7.5
16195,7.5
16618,7.4
17042,6.3
17380,5.8
17888,6.3
18311,6
18725,6.1
19470,6.5
20176,6.2
20799,6.2
21423,7.1
22080,6.2
22769,5
34765,6.1
34958,5.9
35150,6.5
35343,7
35535,7.2
35728,7.3
35921,7.7
36113,6.5
36306,6.6
36499,6.2
36691,6.5
36845,6.9
37076,6.8
37269,7.3
37462,8.5
37616,9.2
37693,9
37847,8
38001,7.3
38116,6.8
38232,6.8
38386,6.9
38502,7.1
38617,7.7
38771,7.5
38887,7.7
39002,7.1
39157,7.1
39234,7.6
39311,8
