age,temp
520,14.55
590,14.49
670,14.43
740,14.43
820,14.43
890,14.92
960,14.84
1040,14.94
1110,14.62
1180,14.53
1260,15.41
1330,15.21
1400,15.09
1480,15.34
1550,15.15
1620,15.23
1700,14.91
1770,14.72
1840,14.86
1920,14.97
1990,15.42
2070,15.8
2140,15.44
2210,15.96
2290,16.11
2360,15.98
2430,16.2
2510,16.04
2580,16.04
2650,15.96
2730,16.1
2800,16.15
2870,15.97
2950,16.7
3020,16.51
3100,16
3170,16.07
3240,16.02
3320,16.04
3390,16.35
3460,16.46
3540,16.27
3610,16.41
3680,16.41
3760,16.42
3830,16.48
3900,16.54
3980,16.53
4050,16.62
4120,17.36
4200,16.9
4270,17.4
4350,16.99
4420,17.14
4490,16.87
4570,16.72
4640,16.67
4710,17.01
4790,17.02
4860,17.13
4930,16.89
5010,17.37
5080,17.51
5150,17.01
5230,18.07
5300,17.31
5380,17.61
5450,17.03
5520,18.17
5600,17.47
5670,18.15
5740,17.6
5820,18.18
5890,17.77
5960,18.27
6040,17.98
6110,18.26
6180,18.01
6260,17.89
6330,17.98
6400,18.1
6480,18.13
6550,17.97
6630,18.15
6700,18.26
6770,18.14
6850,17.95
6920,17.86
6990,17.8
7070,17.89
7140,18.03
7210,18.03
7290,17.88
7360,17.86
7430,17.88
7510,17.56
7580,17.57
7660,17.82
7740,17.99
7830,17.72
7910,17.77
7990,18
8070,17.87
8160,17.86
8240,18.14
8320,17.06
8400,18.41
8480,18.33
8570,18.4
8620,18.52
8680,18.08
8730,18.28
8780,18.42
8830,18.13
8880,18.12
8930,18.1
8980,18.15
9030,18.22
9080,18.02
9130,18.17
9180,17.66
9230,17.67
9280,17.55
9330,17.58
9380,17.96
9410,18
9460,17.75
9510,17.99
9560,17.95
9610,17.87
9640,17.92
9690,18.17
9740,18.05
9790,18.08
9840,18.14
9890,18.42
9940,18.32
9990,18.18
10040,18
10090,17.8
10140,18.16
10190,17.83
10250,17.99
10300,18.39
10350,18.04
10400,17.58
10450,18.22
10500,18.56
10550,18.32
10600,18.38
10650,18.51
10700,18.48
10750,17.99
10800,17.65
10830,17.8
10840,17.42
10860,17.39
10880,17.52
10900,17.5
10910,17.52
10930,17.69
10950,17.38
10960,18.53
10980,19.35
11000,18.85
11010,18.24
11030,18.04
11050,18.29
11070,18.2
11080,16.94
11100,17.38
11120,17.99
11130,18.43
11150,17.86
11170,19.84
11180,20.35
11200,19.44
11220,19.08
11230,18.57
11250,18.46
11270,18.78
11290,19.09
11300,19.15
11320,19.28
11340,20.03
11350,19.63
11400,19.63
11470,20.35
11590,20.23
11650,19.73
11710,20.34
11840,18.66
11870,19.5
11900,18.16
