age,temp
550,20.9
920,20.6
1360,20.9
2030,18.3
2430,18.8
2680,18.7
2840,20.9
3000,19.9
3080,19.8
3460,19.9
3830,19.7
4110,20.1
4200,12.3
4580,19.9
4670,19.9
4860,14.8
5060,18.2
5250,18.9
5380,17.2
5580,20
5710,18.4
5910,20.1
6040,16.1
6240,19.1
6370,19.8
6430,20.1
6700,15.8
6890,21
7020,12.7
7180,18.7
7280,18.4
7440,19.8
7540,16.8
7700,19
7800,19.2
7850,19
8060,19.1
8160,19.8
8310,18.1
8470,20.1
8570,20.2
8730,18.9
8830,20
8990,19.9
9101,18.9
9252,20.6
9367,20.7
9410,20.6
9475,18.7
9590,19.8
9655,20.8
9705,20
9770,20.2
9821,20.6
9885,20.3
9929,19.8
10001,20.1
10044,19.3
10087,20.9
10159,19
10181,18.5
10267,20.2
10375,20.4
10440,19.6
10548,19.7
10620,20.3
10684,19.9
10792,19.7
10893,19.9
10965,20.6
11066,17.9
11138,20.5
11239,19.9
11311,19.9
11411,19.9
11483,18.8
11512,19.2
11968,14.8
12704,13.1
12950,14
13110,19.7
13220,20.3
13380,19.7
13490,19.5
13630,19.7
13720,19.5
13828,19.6
13865,20.6
13880,20.5
13950,20.2
14002,20.2
14039,20.9
14091,19.5
14124,18.7
14176,20.9
14212,20.5
14264,19.6
14297,20
14349,20.5
14382,20.4
14438,20.5
14471,20.9
14489,18.8
14595,7.9
14837,8.4
15005,8.1
15322,8.2
15731,9.4
15890,9
16132,9.5
16216,8.7
16355,8.2
16942,9.8
17380,9.4
17669,14.9
18106,15.2
18405,15.6
18842,18.1
19131,16.3
