age,temp
700,0.4
1200,0.8
1700,-0.2
2200,-0.8
2700,-0.4
3200,0.4
3700,0.4
4200,0.3
4700,-0.3
5200,0.4
5700,-0.4
6200,-0.5
6700,0
7200,-0.3
7700,-0.4
8200,-0.7
8700,-0.4
9200,0.3
9700,0.7
10200,0.8
10700,0.8
11200,0.5
11700,0
12200,-1.6
12700,-1.6
13200,-3.3
13700,-3.1
14200,-2.7
14700,-2.6
15200,-3.8
15700,-3.1
16200,-4.3
16700,-6
17200,-7.3
17700,-7.3
18200,-8.7
18700,-9.1
19200,-9.2
19700,-9.5
20200,-7.7
20700,-8.5
21200,-7.6
21700,-7.4
22200,-7.7
22700,-8
23200,-7.3
23700,-7.6
24200,-8.8
24700,-8.6
25200,-8.4
25700,-8.4
26200,-7.1
26700,-8.2
27200,-7.2
27700,-8
28200,-7.3
28700,-6.8
29200,-6.7
29700,-6.5
30200,-7.7
