age,temp
1296,-0.1
1409,0.3
1502,0.3
1606,-0.4
1707,0.4
1807,0.4
1897,0.2
1996,0.4
2097,-0.2
2195,0.4
2296,0.1
2381,0.1
2475,0
2578,-0.4
2681,-0.2
2786,0.4
2890,0.6
2992,0.1
3101,-0.2
3207,-0.1
3308,0.3
3407,0.6
3509,-0.2
3612,0.1
3721,0.2
3822,-0.3
3924,0.3
4017,0.2
4121,0.8
4222,0.7
4324,0.9
4426,0
4530,0.1
4626,0.4
4727,0.3
4828,0.8
4925,1
5022,0.2
5119,-0.1
5220,0.1
5312,0.6
5414,0.2
5502,0.6
5598,0.4
5697,0.4
5792,0.8
5896,0
5989,0.4
6083,0.6
6179,0.3
6274,0.3
6369,-0.1
6463,0.1
6555,0.3
6642,-0.3
6736,0.4
6833,0.3
6930,0.2
7021,-0.1
7108,0.2
7196,0.4
7286,-0.2
7375,0.1
7474,0.2
7576,-0.2
7680,-0.5
7783,-0.5
7894,-0.5
8005,-0.1
8116,-0.5
8230,-0.5
8349,-0.5
8465,-0.2
8584,-0.9
8703,-0.5
8810,-0.4
8921,-0.3
9033,-0.8
9146,-0.1
9253,-0.2
9361,0.1
9467,0.1
9575,0.3
9674,0.1
9776,-1
9889,-0.7
9986,-0.5
10086,-0.9
10196,-0.2
10299,-0.3
10397,0.4
10495,0.3
10597,0.1
10699,-0.1
10795,-0.2
10890,-0.4
10985,0
11082,-0.5
11182,-0.4
11275,-0.1
11371,-0.5
11477,-2.4
11588,-1.7
11695,-3.1
11809,-1.5
11925,-0.7
12032,-1.1
12140,-1.3
12248,-2
12352,-1.9
12465,-2.7
12576,-3
12695,-2.9
12802,-3
12904,-3.4
12997,-3.2
13091,-3.6
13194,-3.2
13298,-3.1
13400,-2.8
13506,-2.9
13612,-3.4
13715,-2.8
13824,-3.2
13924,-3.2
14030,-3.9
14137,-3.2
14244,-3.6
14346,-3
14450,-2.5
14562,-3.4
14677,-3.7
14782,-3.3
14888,-3
14984,-3.2
15095,-3
15199,-3.1
15309,-4
15417,-3.6
15524,-2.7
15624,-3.5
15728,-3.2
15840,-3.5
15948,-3.1
16059,-3
16163,-4
16278,-5.3
16384,-5.2
16497,-4.9
16608,-4.8
16711,-5
16821,-5.5
16927,-5.6
17033,-5.9
17147,-6.9
17256,-5.5
17354,-6.2
17457,-6.1
17565,-6.7
17670,-6.9
17772,-7.3
17879,-8.2
17984,-7.5
18093,-8.2
18200,-6.8
18306,-7.6
18412,-7.5
18520,-7.8
18622,-7.3
18717,-8
18815,-8
18915,-7.6
19026,-7.7
19133,-7
19235,-7.4
19339,-7.4
19440,-7.3
19537,-7.6
19634,-7.5
19734,-7.4
19836,-6.6
19930,-7.2
20028,-7.6
20125,-7.3
20215,-7.4
20319,-7.8
20409,-7.7
20503,-7.9
20592,-7.5
20685,-7.5
20784,-7.4
20872,-6.8
20969,-7.5
21068,-7.1
21150,-7
21231,-8.1
21321,-7.7
21408,-7.1
21492,-7.4
21581,-7.2
21664,-7.1
21759,-7.5
21858,-7.2
21947,-7.9
22046,-7.1
22147,-7
22255,-7.5
22360,-7.3
22456,-7.2
22549,-8.4
22644,-8.1
22743,-7.5
22841,-7.6
22936,-7.3
23035,-7.3
23128,-7.4
23223,-7.9
23323,-7.4
23425,-7.2
23527,-6.7
23625,-7
23727,-7
23835,-6.4
23939,-6.3
24046,-6.8
24145,-7.3
24243,-7.4
24349,-7.8
24458,-8.1
24575,-8.1
24694,-7.7
24801,-7.5
24916,-7.8
25028,-7.9
25134,-7.9
25247,-7.6
25358,-8
25478,-7.5
25585,-7.4
25698,-7.3
25806,-7.3
25918,-7.8
26025,-7.9
26136,-8.3
26242,-8.6
26345,-8.1
26444,-8.3
26553,-8
26660,-7.8
26767,-7.6
26869,-8.4
26980,-7.7
27087,-7.8
27190,-8
27287,-8
27393,-7.3
27496,-7.6
27595,-7.4
27697,-7.5
27799,-7.3
27912,-6.3
28025,-6.5
28132,-6.1
28226,-5.8
28330,-6
28438,-6.3
28542,-6.5
28640,-6.6
28736,-6.8
28835,-7
28935,-7.1
29035,-6.2
29131,-6.2
29224,-5.8
29310,-5.8
29402,-6.3
29500,-6.5
29596,-5.6
29689,-5.6
29789,-6.1
29892,-5.4
29998,-5.5
