age,temp
8330,28
8620,27.7
8880,27.2
9180,27.7
9480,27.4
9770,27.8
10070,28.8
10370,28.1
10660,27.7
10960,27.7
11310,27.8
11550,26
11850,26.1
12140,25.6
12260,26.8
12380,28.7
12430,26.3
12520,26.8
12620,27.5
12670,27.4
12910,27.4
13030,27.3
13110,26.9
13150,26.1
13400,26.6
13530,26.8
13550,26
13600,26.3
13640,26.7
13730,27.2
13810,25.6
13860,25.5
13940,25.8
14070,25.6
14160,26.9
14670,26
14720,26.7
14800,26.6
14930,28.6
15020,26.1
15080,26.8
15110,26.8
15170,27
15230,25.9
15270,25.8
15330,26.6
15390,25.4
15420,25.5
15470,25.6
15500,26.6
15530,26.4
15560,26.9
15570,26.3
15620,26.6
15650,25.5
15680,26
15710,26.4
15730,25.6
15780,26
15810,25.9
15840,25.8
15880,25.7
15900,25.6
15930,24.7
15960,24.1
15990,25.4
16020,24.9
16040,24.1
16100,26.2
16320,25.2
16400,24.4
16450,24.5
16940,24.7
17190,23
19170,23.8
19420,22.9
19670,24.1
19910,23.3
20160,23.7
20410,22.7
20660,24.1
21190,23.7
21420,24.2
21960,23.7
22210,23.4
