age,temp
38.3738,0.88
46.812,1.84
55.0562,3.04
64.4151,0.35
73.1508,-0.42
81.9324,0.05
90.7593,0.05
99.9703,-0.52
109.8888,0.79
119.2589,-0.55
129.4038,-1.11
139.9389,0.38
150.1021,-0.4
160.5801,1.05
171.0183,0.28
181.4447,-0.72
191.4828,-1.23
201.8723,0.51
212.1863,-2.44
223.1629,0.42
233.7391,0.84
244.6407,0.71
255.4997,-0.02
266.6121,-0.14
277.771,-1.41
289.2501,-0.34
301.043,0.16
312.4418,-1.22
323.8545,-0.41
335.5783,-0.59
346.8813,0.03
358.5082,-0.67
370.9011,-0.9
382.8744,-1.53
395.1856,-0.47
407.4656,-0.12
418.7549,0.21
430.3977,-1.73
442.4092,0.16
454.0992,0.14
466.1252,-0.56
478.2143,-0.8
490.3972,0.42
503.0573,-2.36
515.651,-0.85
528.7642,-0.36
541.6086,1.26
554.9312,0.7
567.7542,-0.77
580.5999,1.4
593.5114,-0.87
606.4739,-0.81
619.4661,1.46
632.0487,0.98
644.9871,0.27
658.2576,-0.96
672.1284,-0.61
686.6511,-0.63
700.6793,-0.49
715.027,-0.96
729.2777,-1.44
744.2387,-0.91
758.7434,-0.1
772.4075,-0.16
785.8362,0.32
798.9005,0.03
812.3074,0.56
824.8107,0.94
837.1,1.17
849.379,1.5
861.9699,-1.03
875.3684,0.59
889.0924,-1.41
903.1662,0.92
917.3317,-1.03
931.9752,-0.67
946.9819,-0.55
961.2271,-0.75
975.7649,0.38
990.1581,-0.4
1004.54,-0.44
1018.7851,-0.95
1032.3815,0.14
1046.6646,0.99
1060.5891,0.36
1074.796,-0.75
1089.0769,-0.8
1103.7052,0.72
1118.1598,-0.54
1132.6519,1.55
1146.7909,-0.9
1160.9225,-0.34
1174.3936,0.93
1188.1121,1.03
1201.4983,0.88
1215.0363,-0.54
1229.3221,0.58
1243.6039,0.37
1258.2224,0.27
1272.5916,-0.16
1286.9796,-0.3
1301.7094,1.23
1315.8695,0.22
1330.4541,0.89
1344.7092,-0.17
1358.6217,1.55
1372.6157,0.89
1386.6151,-0.17
1400.6207,-0.02
1415.9207,-0.48
1431.9005,-0.7
1447.8903,-0.45
1463.2686,1.04
1478.7351,-0.93
1494.2158,-0.32
1509.6785,-0.54
1525.0861,-0.27
1540.512,0.9
1556.3375,-0.92
1571.9869,0.04
1588.0161,0.24
1604.0825,-1.15
1620.5798,-0.84
1637.1066,0.73
1654.0148,-1.24
1670.1786,0.42
1686.0175,0.35
1702.2534,-0.81
1719.7678,-0.56
1736.975,-0.11
1754.169,0.1
1770.6008,0.55
1787.4019,-1.41
1804.231,0.25
1821.9745,-1.04
1839.3447,-0.99
1856.4983,0.35
1872.5665,-1.06
1888.9882,1.79
1905.4586,0
1922.0116,0.01
1938.2087,-0.38
1955.514,0.18
1972.7562,-0.3
1990.0026,-0.73
2007.3523,-1.08
2025.2391,-0.02
2043.511,-0.92
2060.9863,1.62
2078.0989,-0.7
2095.2153,-0.74
2112.5278,0.44
2129.7493,-0.64
2147.3413,-0.34
2165.3213,-1.02
2183.9954,-0.48
2202.2927,-0.46
2219.3938,0.2
2236.5647,0.86
2253.3892,0.3
2270.874,-0.35
2288.7759,0.17
2306.3242,-2.05
2326.6065,-1.41
2346.9019,-0.63
2366.6248,-0.83
2385.3838,-0.94
2404.5383,-1.97
2423.7998,-0.78
2443.0803,0
2462.5149,-0.65
2480.8911,-0.63
2499.647,0.16
2517.8018,-0.45
2535.124,0.92
2552.804,-0.11
2570.8389,0.51
2589.0186,-0.77
2607.2026,0.37
2624.5393,0.85
2641.8049,0.09
2659.1033,-0.19
2678.0422,-0.56
2696.614,-0.2
2714.8503,-0.88
2732.7207,1.29
2750.2446,0.89
2767.4529,0.81
2784.2798,0.91
2801.447,0.01
2818.3872,1.32
2835.1018,1.12
2851.8198,1.12
2869.8169,0.04
2888.0117,-0.64
2906.2105,-1
2924.2236,0.57
2942.8967,0.29
2961.2144,-0.34
2980.4485,-0.91
2999.6936,-0.01
3018.7148,-0.51
3037.3521,0.1
3055.9934,0.15
3074.135,-0.03
