age,temp
-49.62,5.74
179.67,6.15
407.17,5.6
631.08,5.6
849.6,5.55
1061.4,6.63
1266.87,6.27
1466.9,6.68
1662.34,6.24
1854.05,6.93
2042.89,7.69
2229.73,7.02
2415.43,7.41
2600.85,7.37
2786.51,7.72
2971.53,7.38
3154.68,7.48
3334.74,7.02
3510.48,7.06
3680.69,6.76
3844.13,7.89
3999.58,7.82
4145.82,7.65
4281.61,7.88
4405.75,7.66
4516.99,8.41
4614.64,8.24
4700.05,8.66
4775.08,8.29
4841.62,8.12
4901.53,7.44
4956.69,8.17
5008.97,8.07
5060.23,8.01
5112.36,7.99
5167.22,7.05
5226.68,7.77
5292.18,7.52
5363.38,7.82
5439.51,7.19
5519.78,7.02
5603.42,7.55
5689.65,6.86
5777.7,7.25
5866.79,7.6
5956.15,8.23
6044.99,8.1
6132.54,8.27
6218.14,8.24
6301.59,7.56
6382.81,8.5
6461.7,7.7
6538.19,8.59
6612.19,8.69
6683.61,8.4
6752.37,8.62
6818.39,8.81
6881.57,8.33
6941.84,8.81
6999.11,8.67
7053.41,8.81
7105.24,8.48
7155.18,8.67
7203.86,8.96
7251.87,8.57
7299.81,8.61
7348.31,8.75
7397.95,8.54
7449.34,9.4
7503.09,9.19
7559.68,8.7
7619.06,8.72
7681.06,8.56
7745.52,7.95
7812.26,8.23
7881.12,8.55
7951.93,8.38
8024.51,7.8
8098.7,7.78
8174.33,7.78
8251.18,6.48
8328.8,5.64
8406.72,7.29
8484.42,6.73
8561.44,6.96
8637.26,7.05
8711.41,7.28
8783.38,6.86
8852.7,7.05
8918.86,6.66
8981.79,6.82
9043.04,7.19
9104.6,6.85
9168.42,6.19
9236.32,6.24
9309.42,6.43
9388.67,5.99
9475.04,5.08
9569.49,4.79
9672.97,5.39
9786.45,5.39
9910.87,4.35
10047.2,4.16
10196.39,4.22
10358.99,3.03
10533.84,3.7
10719.36,1.57
10913.97,1.5
