age,temp
-10,-31.7
10,-33
30,-31.8
50,-33.1
70,-32.1
90,-32.3
110,-30.7
130,-31.8
150,-32.5
170,-31.1
190,-33.1
210,-31.7
230,-31.7
250,-32.6
270,-33.3
290,-31
310,-32.7
330,-31.9
350,-32.2
370,-31.3
390,-31.9
410,-31.6
430,-31.4
450,-31.3
470,-33.1
490,-32.3
510,-31
530,-33.5
550,-31.3
570,-32.5
590,-33.9
610,-33.6
630,-33.1
650,-31.9
670,-31.8
690,-32.9
710,-33.1
730,-30.9
750,-32.3
770,-32.9
790,-32.9
810,-33.5
830,-31.8
850,-34.5
870,-31.7
890,-32.4
910,-32.8
930,-32.2
950,-32.2
970,-33.2
990,-30
1010,-31
1030,-31.6
1050,-31
1070,-32.9
1090,-32.9
1110,-32.6
1130,-31.6
1150,-33.2
1170,-31.4
1190,-31.2
1210,-29.5
1230,-31.8
1250,-31.7
1270,-32.7
1290,-32.1
1310,-31.5
1330,-31.8
1350,-31.7
1370,-32.8
1390,-32.6
1410,-30.7
1430,-33.2
1450,-33.4
1470,-33.4
1490,-31.8
1510,-31.7
1530,-31.8
1550,-30.9
1570,-31.3
1590,-31.2
1610,-33.2
1630,-32.2
1650,-32
1670,-32.8
1690,-31.6
1710,-31.9
1730,-32.7
1750,-32.4
1770,-31.8
1790,-33.3
1810,-31.1
1830,-31.9
1850,-30.6
1870,-30.9
1890,-30
1910,-31.2
1930,-30.5
1950,-31.8
1970,-31.4
1990,-30
2010,-33.1
2030,-32.7
2050,-31
2070,-30.7
2090,-33.4
2110,-30.8
2130,-31.2
2150,-32.6
2170,-32.9
2190,-30.8
2210,-29.9
2230,-30
2250,-31.1
2270,-31.6
2290,-32.8
2310,-31.3
2330,-31.4
2350,-30.3
2370,-29.6
2390,-32.7
2410,-30.4
2430,-31.6
2450,-30.6
2470,-31.5
2490,-28.5
2510,-29.3
2530,-31
2550,-31.4
2570,-30.6
2590,-30.7
2610,-31.5
2630,-30.8
2650,-30.8
2670,-31.1
2690,-31.2
2710,-31.5
2730,-31.7
2750,-32.3
2770,-31.3
2790,-30.2
2810,-29.7
2830,-32
2850,-32.2
2870,-30.4
2890,-32.6
2910,-30.1
2930,-30.1
2950,-31.2
2970,-30.2
2990,-31.8
3010,-32.5
3030,-30
3050,-31.7
3070,-31.4
3090,-31.2
3110,-31.6
3130,-32.5
3150,-29.6
3170,-31
3190,-32
3210,-31.6
3230,-30.1
3250,-30.2
3270,-29
3290,-30.1
3310,-28.5
3330,-30.5
3350,-30.3
3370,-30.9
3390,-31.4
3410,-30.8
3430,-32.1
3450,-31.7
3470,-31.1
3490,-29
3510,-30.9
3530,-30.5
3550,-30.9
3570,-32.1
3590,-31.3
3610,-31.4
3630,-32
3650,-31
3670,-29.6
3690,-29.6
3710,-29.8
3730,-31.9
3750,-30.6
3770,-31
3790,-31.7
3810,-30.2
3830,-31.2
3850,-29.6
3870,-33
3890,-31.1
3910,-29.6
3930,-30
3950,-31.7
3970,-30.2
3990,-30.6
4010,-30.7
4030,-29.9
4050,-29.9
4070,-31.1
4090,-29.2
4110,-31.1
4130,-30.5
4150,-31.3
4170,-31.8
4190,-31.2
4210,-29.9
4230,-30.9
4250,-31.1
4270,-30.8
4290,-31.6
4310,-30.7
4330,-30.3
4350,-31.8
4370,-31
