age,temp
310,20.4
500,20.5
690,21.2
880,21
1080,21.1
1270,21
1460,21.4
1720,21.4
1980,21.6
2250,21.5
2510,21.5
2770,21.2
3030,21.5
3290,21.6
3550,21.4
3760,21.6
4080,21.8
4340,21.9
4600,21.4
4860,21.8
5120,21.9
5390,21.5
5650,21.9
5910,22.1
6170,22.2
6390,22.4
6580,22.2
6770,22
6960,22.1
7150,21.9
7340,21.8
7530,21.8
7710,21.9
7900,21.9
8050,21.9
8200,21.9
8350,21.7
8500,21.6
8660,21.8
8810,21.6
8960,21.5
9110,21.6
9260,21.3
9410,21.7
9570,21.3
9720,21
9870,21.1
10020,21.4
10170,21.2
10330,21.2
10480,21.2
10630,20.7
10780,20.9
10930,20.8
11090,20.6
11150,21
11220,20.7
11280,21.1
11350,20.8
11410,20.7
11480,20.6
11550,20.7
11610,20.7
11680,20.6
11740,20.5
11810,20.5
11870,20.2
11940,20.1
12010,20.3
12070,19.9
12140,20.1
12200,20.1
12270,20
12340,19.9
12400,19.8
12470,20
12510,19.8
12550,20.4
12590,20.1
12630,20.5
12670,20.6
12710,20.5
12750,20.7
12800,20.7
12840,20.3
12880,20.3
12920,20.9
12960,20.6
13000,21
13040,20.6
13080,20.6
13120,21.3
13160,20.4
13210,20.8
13250,20.6
13290,20.8
13330,20.8
13370,20.5
13410,20.3
13450,20.9
13490,20.7
13530,20.6
13570,21
13620,20.8
13660,21.2
13700,20.7
13740,20.8
13780,20.9
13820,20.6
13860,20.9
13900,21.2
13940,21
13980,21
14030,21.2
14070,21.1
14110,20.9
14150,21.4
14270,21.4
14390,21.6
14510,21.4
14630,21.4
14750,21.3
14870,21.1
15000,20.8
15120,20.5
15240,20.5
15360,20.2
15480,20.4
15600,20.5
15720,20.4
15840,20.6
15970,20.7
16090,20
16210,20.3
16330,19.6
16450,19.9
16570,19.7
16640,19.6
16710,19.3
16790,19.6
16860,19.7
16930,19.7
17000,19.3
17070,19.8
17140,18.9
17220,18.8
17290,19.1
17360,18.4
17430,19
17520,18.5
17620,18.5
17720,18.8
17820,18.7
17920,18.5
18020,18.6
18120,18.7
18220,17.8
18320,19.2
18410,18.6
18510,18.6
18710,18.8
18810,18.3
18910,18.5
19010,18.2
19110,18.1
19210,17.9
19300,18.6
19400,18.2
19500,18.2
19600,18.1
19700,17.9
19800,18.5
19900,18.2
20000,18.1
20100,17.7
20200,18.2
20290,17.9
20390,18
20490,17.6
20590,18.5
20690,18.1
20790,17.7
20890,18.4
20990,18.2
21090,19.1
21190,18
