age,temp
1130,18.87
1290,19.01
1450,19.11
1610,19.25
1767.5,19.32
1922.5,19.34
2080,19.38
2240,19.36
2560,19.41
2720,19.53
2880,19.53
3037.5,19.26
3192.5,19.41
3350,19.5
3510,19.32
3660,19.44
3800,19.48
3937.5,19.42
4072.5,19.4
4210,19.5
4350,19.15
4487.5,18.84
4622.5,19.06
4750,19.26
4870,19.25
4990,18.94
5110,19.15
5230,18.94
5350,19.48
5427.5,19.62
5462.5,19.56
5497.5,19.61
5532.5,19.45
5567.5,19.7
5602.5,19.67
5637.5,19.58
5672.5,19.69
5707.5,19.71
5742.5,19.73
5777.5,19.92
5812.5,19.98
5847.5,19.92
5882.5,19.92
5917.5,19.94
5952.5,19.68
5987.5,20.1
6022.5,20.12
6057.5,20.24
6092.5,20.11
6127.5,20.05
6162.5,19.89
6197.5,19.96
6232.5,19.77
6267.5,19.84
6302.5,19.94
6337.5,19.83
6372.5,19.85
6410,19.8
6450,19.74
6487.5,19.89
6522.5,19.89
6557.5,19.86
6592.5,19.8
6627.5,19.96
6662.5,19.88
6697.5,19.91
6732.5,19.78
6767.5,19.78
6802.5,19.77
6837.5,19.84
6872.5,19.45
6907.5,19.73
6942.5,19.79
6977.5,19.87
7012.5,19.79
7047.5,19.76
7082.5,19.81
7117.5,19.69
7152.5,19.54
7187.5,19.59
7222.5,19.72
7257.5,19.7
7292.5,19.71
7327.5,19.78
7362.5,19.75
7397.5,19.73
7432.5,19.78
7467.5,19.84
7502.5,19.78
7527.5,19.79
7542.5,19.1
7557.5,19.77
7572.5,19.79
7585,19.81
7595,19.81
7607.5,19.67
7622.5,19.78
7637.5,19.81
7652.5,19.77
7667.5,19.79
7682.5,19.73
7697.5,19.8
7712.5,19.71
7726.67,19.78
7740,19.2
7753.33,19.23
7766.67,19.59
7780,19.48
7793.33,19.99
7807.5,19.65
7822.5,19.72
7837.5,19.9
7852.5,19.97
7865,19.99
7875,19.7
7887.5,20.05
7902.5,19.61
7917.5,19.17
7932.5,19.42
7955,19.68
7985,19.85
8017.5,19.81
8052.5,20
8080,19.97
8100,19.91
8120,20.04
8160,19.84
8205,20.06
8235,20.04
8267.5,20.06
8302.5,20.06
8335,20.14
8365,20.1
8395,20.17
8425,19.71
8455,19.87
8485,19.86
8517.5,19.45
8552.5,19.83
8585,19.92
8615,20.06
8645,20.02
8675,20.08
8705,20.21
8735,20.28
8767.5,20.18
8802.5,20.13
8835,20.07
8865,20.11
8882.5,20.05
8887.5,20.13
8892.5,20.1
8897.5,20
8899,20.02
8900,19.96
8902.5,19.85
8907.5,20.03
8912.5,19.99
8917.5,19.96
8922.5,20.03
8927.5,20.12
8932.5,20.12
8937.5,20.08
8939,19.94
8940,19.88
8942.5,19.9
8947.5,19.96
8952.5,19.96
8957.5,19.83
8962.5,19.81
8967.5,19.99
8972.5,20.11
8977.5,20.07
8979,19.97
8980,20.05
8982.5,20.08
8987.5,20.15
8992.5,20.1
8997.5,20.17
9002.5,20.17
9007.5,19.94
9015,19.95
9025,20.11
9032.5,20.13
9037.5,20.03
9045,20.08
9055,20.07
9062.5,20.12
9067.5,20.09
9073.75,20.14
9081.25,20.14
9088.75,19.89
9096.25,20.01
9102.5,20.12
9107.5,20.19
9115,20.09
9125,20.16
9132.5,20.08
9137.5,20.04
9142.5,20.19
9147.5,20.14
9155,20.36
9165,20.24
9172.5,20.25
9177.5,20.06
9185,20.41
9195,19.98
9202.5,20.18
9207.5,20.25
9212.5,19.53
9217.5,19.73
9225,19.41
9235,19.69
9242.5,19.78
9247.5,19.84
9255,20.05
9265,20.25
9272.5,20.2
9277.5,20.17
9282.5,20.13
9287.5,20.23
9295,20.24
9305,20.25
9313.75,20.08
9321.25,20.33
9328.75,20.29
9336.25,20.39
9342.5,20.32
9347.5,20.26
9352.5,19.92
9357.5,20.25
9365,20.25
9375,20.24
9382.5,20.2
9387.5,20.25
9395,20.25
9405,20.28
9412.5,20.29
9417.5,20.3
9427.5,20.08
9442.5,19.73
9460,19.86
9480,20.19
9497.5,20.06
9512.5,20.32
9530,20.3
9550,20.28
9567.5,20.3
9582.5,20.27
9597.5,20.18
9612.5,20.3
