age,temp
30,24.6
90,24.4
150,24.6
210,24.5
270,24.7
330,24.1
390,24.1
450,24.4
510,24
570,24.5
630,24.2
690,25
1050,24.8
1400,24.9
1760,24.9
2110,24.8
2470,25
2830,24.8
3180,24.7
3540,24.9
3890,25
4250,24.9
4450,24.7
4660,24.6
4870,24.9
5080,24.9
5280,24.8
5490,25
5700,24.6
5900,24.6
6110,24.8
6320,24.8
6400,24.5
6480,24.7
6560,24.7
6640,24.5
6720,24.2
6800,24.6
6880,24.4
6960,24.5
7040,24.4
7130,24.3
7270,24.6
7410,24.2
7550,24.1
7690,24.5
7840,24.5
7980,24.2
8120,24.1
8260,24
8410,24.5
8510,24.2
8560,24.1
8620,24.5
8680,24.4
8740,24.2
8790,24.4
8850,24.1
8910,24.4
8960,24.4
9020,24.1
9080,23.6
9150,24
9220,23.8
9280,23.7
9350,23.6
9410,23.8
9480,23.7
9550,23.6
9610,23.4
9680,23.9
9800,23.3
9970,23.1
10140,23.5
10320,23.7
10490,23.5
10660,23.5
10840,23.3
11010,23.2
11180,23
11360,22.7
11520,22.7
11690,22.6
11850,22.7
12020,22.7
12180,22.6
12340,22.3
12510,22.6
12670,22.5
12830,22.7
13000,22.7
13140,22.6
13250,22.6
13370,22.6
13490,22.4
13600,22.2
13720,22
13830,22.4
13950,22
14060,22
14180,22
14390,22.1
14690,21.9
14990,21.7
15290,21.5
15590,20.6
15890,20.5
16200,20.8
16500,20.3
16800,20.2
17100,20.1
17700,21
18600,21.2
19500,21.1
20400,20.9
21300,21.3
22200,20.5
23100,20.9
23990,21
24890,20.8
25790,21.2
