age,temp
170,27.1
250,27.2
660,27.1
1080,27.3
1490,27.3
1900,27.3
2260,26.7
2630,27.5
2990,27.1
3360,27.3
3730,27.2
3910,27
4050,27.5
4120,27.8
4200,27.2
4270,27.6
4400,27.1
4620,27.2
4830,27.3
5050,27.6
5270,27
5480,27.2
5700,26.9
5920,27.1
6130,27.6
6570,27.4
6750,27.1
6810,26.5
6870,27
6930,27.2
7050,27.3
7160,27.3
7280,27.9
7400,27
7560,27.2
7730,27.2
7900,27.4
8060,27.2
8230,27.1
8400,27.7
8570,27.5
8740,27
8910,27.2
9080,27.6
9250,27
9420,27.8
9590,27.4
9760,26.9
9920,27.5
10090,27.1
10260,27.5
10410,27.3
10500,27.7
10590,28.8
10680,27.7
10760,27.2
10850,26.5
10940,27.1
11000,26.7
11040,26.5
11070,27
11100,26.9
11140,27.2
11170,27.3
11200,27.7
11230,27
11270,26.7
11300,27.2
11330,26.3
11370,27
11400,27.6
11470,27.7
11690,27.9
11910,28
12130,27.9
12350,27.6
12420,27.4
12450,28.1
12480,27.6
12520,28.2
12550,28.4
12580,28.2
12620,28.1
12650,27.8
12680,28.1
12710,27.4
12750,28.1
12780,27.6
12810,27
12850,27.2
12880,27.4
12910,27.4
12950,26.7
12980,27
13010,26.9
13040,27.7
13080,27.1
13110,27.2
13140,27
13180,26.9
13210,27.1
13240,26.5
13270,27.1
13310,26.4
13340,27
13370,26.5
13410,26.5
13440,26.1
13490,26.9
13550,26.7
13620,26.1
13690,26.8
13760,27
13830,25.9
13900,26.3
13980,25.6
14220,27
14300,26.8
14380,27.1
14470,27
14550,27.8
14650,26.7
14730,27.1
14800,26.6
14820,26.4
14940,26.1
15040,26.4
15130,27.1
15320,25.7
15410,25.6
15510,25.5
15600,26
15620,26.9
15700,26.4
15790,26.2
15820,26
15880,26.4
15960,25.9
16010,26.6
16050,26.3
16100,26.5
16150,25.5
16190,26.5
16240,25.7
16290,26.2
16340,26.8
16520,25.4
16570,26.3
16620,26
16710,26
16760,25.7
16810,26.1
16900,26.5
17370,25.9
17830,23.8
18760,23.8
19700,23.8
20070,24.2
20240,24.3
20320,24.7
20410,24.9
20570,24.4
20660,24.9
20740,25.3
