age,temp
60,26.05
690,26.4
1040,25.86
1390,26.02
1740,25.96
1880,26.44
2020,26.59
2090,26.13
2370,25.72
2440,25.09
2800,25.26
3130,24.92
3470,25.71
4140,25.7
4470,26.47
5150,26.53
5580,26.74
5750,27.32
5860,25.81
6010,26.26
6110,26.85
6180,27.03
6220,25.7
6400,25.84
6470,26.14
6540,26.58
6580,27.34
6760,27.6
6830,27.15
7300,26.94
7470,26.43
7550,26.12
7650,25.98
7840,26.37
8020,26.09
8200,25.82
8750,25.55
8930,26.75
9300,27.34
9480,25.96
9660,25.83
10030,27.32
10820,26.69
11000,25.96
11190,26.47
11510,25.9
11730,25.46
11910,25.28
12090,25.02
12270,26.07
12450,26.25
12520,25.62
12620,25.51
12680,25.18
12750,25.38
12780,25.99
12940,26.22
13100,25.05
13270,25.44
13430,25.49
13590,25.31
13920,25.9
14150,26.32
14380,25.68
14610,26.98
