age,temp
813,26.8
1110,26.8
1408,26.9
1705,26.4
2002,26.5
2354,27
2707,26.8
3059,26.4
3412,26.4
3764,26.8
4128,26.8
4492,26.9
4856,26.5
5220,26.9
5584,26.5
5799,26.4
6014,26.1
6228,26.4
6443,25.9
6658,25.8
6960,26.2
7262,25.8
7413,26.2
7866,26.6
8167,25.5
8469,25.6
8771,25.9
9036,25.9
9264,25.7
9492,25.6
9720,25.9
9948,25.7
10176,25.8
10404,25.1
10632,25.2
11005,24.3
11378,23.8
11751,23.7
12124,23.8
12497,24.1
12870,24.5
13244,24.7
13501,25
13643,25.1
13786,25.1
13928,24.9
14070,25
14213,25.2
14355,25.4
14497,21
14714,20.3
15147,20.1
15580,19.5
16014,19.3
16447,16.4
16880,20.2
17300,21.2
17681,21.3
18063,22.3
18444,22.5
18825,22.6
19111,22.8
19587,22.5
19872,22.3
20158,22.5
20443,22.4
20729,23
21014,22.8
