age,temp
0,10.97
309.5,10.8
464.7,10.73
619.3,10.43
773.2,11.01
926.3,10.73
1078.8,11.53
1230.6,11.49
1381.7,11.66
1681.8,11.44
1905,11.28
2052.9,11.42
2200.2,11.18
2310.2,11.16
2383.3,11.53
2456.2,11.3
2529,11.33
2601.5,10.79
2674,10.86
2746.2,10.86
2818.2,9.98
2890.1,10.28
2961.8,10.26
3033.4,10.58
3104.7,10.12
3175.9,10.16
3246.9,10.45
3317.8,10.19
3388.4,10.34
3458.9,10.46
3529.2,10.5
3599.4,10.31
3669.4,10.83
3739.2,10.95
3808.8,10.7
3878.2,10.72
3947.5,11.09
4016.6,11.58
4085.5,11.76
4154.3,11.71
4222.8,11.69
4291.2,11.11
4359.5,11.5
4427.5,11.58
4495.4,11.18
4563.1,11.67
4630.6,11.32
4832.2,10.61
5032.1,11.25
5230.5,11.36
5427.4,11.05
5622.6,11.69
5816.4,11.47
6008.5,11.2
6199.1,11.74
6388.1,10.92
6575.5,11.33
6761.3,11.45
6945.6,11.96
7128.4,11.58
7309.5,11.95
7459.3,11
7637.6,11.09
7931.2,11.3
8220.5,11.42
8505.5,11.11
8786.1,11.13
9062.3,10.73
9334.2,11.63
9601.7,11.65
9864.9,11.63
10123.7,11.78
10378.2,11.77
10628.3,11.37
10874,11.18
11115.4,11.48
11352.5,12.17
11585.1,11.33
11813.5,10.69
12037.4,12.27
12257.1,11.8
12472.3,10.62
12683.2,9.92
12889.8,11.8
13092,10.1
13289.8,9.59
13483.3,10.01
13672.4,10.5
14037.6,11.07
14213.7,10.31
14385.4,11.65
14552.8,11.62
14715.8,11.43
14874.4,10.18
15028.7,-2.1
15178.6,-2.1
15324.2,-2.1
15465.4,2.59
15602.3,2.53
