age,temp
-45,8.77
-39,8.97
-33,9.01
-24.63,8.81
-13.88,9.04
-3.13,8.95
7.63,8.84
18.38,8.8
29.13,8.91
39.88,9.18
50.63,9.14
123.71,9.14
259.14,9.01
394.57,8.76
530,8.99
571.65,8.91
613.29,9.07
654.94,8.97
696.59,8.9
738.24,8.95
779.88,9.12
821.53,8.99
863.18,9
911.24,9.04
965.71,9.07
1020.19,9.03
1074.67,9.05
1129.14,8.89
1183.62,8.87
1238.1,8.92
1292.57,9.06
1347.05,9.17
1401.52,8.93
1456,8.91
1508.82,9.01
1561.65,8.88
1614.47,8.99
1667.29,9
1720.12,8.94
1772.94,8.89
1825.76,8.98
1878.59,9.01
1931.41,9
1984.24,8.97
2037.06,9.19
2089.88,9.04
2142.71,9.24
2195.53,9.09
2248.35,9.03
2301.18,8.99
2354,9.23
2393,8.96
2432,8.81
2471,9.19
2510,9.14
2549,9.14
2588,8.87
2627,8.95
2666,8.98
2705,8.97
2744,9.2
2783,9.1
2822,8.98
2861,9.08
2900,9.09
2939,9.04
2978,8.87
3017,8.96
3056,8.93
3095,8.99
3134,9.06
3174.4,9.04
3214.8,9.03
3255.2,8.97
3295.6,8.91
3336,9.26
3376.4,9.21
3416.8,9.1
3457.2,8.99
3497.6,9.1
3538,9.24
3578.4,9.17
3618.8,9.2
3659.2,8.94
3699.6,9.1
3740,8.98
3780.4,9
3820.8,9
3861.2,9.02
3901.6,9.19
3942,9.09
3980.55,9.02
4019.09,8.91
4057.64,9.01
4096.18,8.83
4134.73,9.21
4173.27,9.12
4211.82,9.04
4250.36,8.96
4288.91,9.09
4327.45,8.92
4366,8.97
4404.55,9
4443.09,9.05
4481.64,9.04
4520.18,9.07
4558.73,9
4597.27,9.03
4635.82,9.07
4674.36,9.1
4712.91,9.09
4751.45,9.12
4790,9.19
4843.35,9.12
4896.71,9.16
4950.06,9.16
5003.42,9.03
5056.77,9.05
5110.13,9.18
5163.48,8.9
5216.84,8.88
5270.19,8.77
5323.55,8.57
5376.9,8.66
5430.26,9.01
5483.61,9.03
5536.97,8.92
5590.32,8.99
5649.13,9.04
5713.39,9.02
5777.65,9.08
5841.91,9.08
5906.17,9.14
5970.43,9.17
6034.7,8.84
6098.96,8.79
6163.22,8.87
6227.48,8.9
6291.74,8.82
6356,8.62
6455.65,8.42
6555.29,8.79
6654.94,8.78
6754.59,8.96
6854.24,8.63
6953.88,8.51
7053.53,8.2
7153.18,8.74
7357.78,8.81
7667.33,8.58
7976.89,8.24
8441.22,8.75
8650.55,8.51
8759.64,8.3
8868.73,8.01
8977.82,7.62
9086.91,7.25
9196,7.04
9422.22,7.09
9648.44,7.22
9874.67,7.12
10214,7.28
10422.9,7.88
10631.8,8.2
10840.7,8.45
11049.6,8.23
11324,8.26
11664,8.08
12004,7.45
12125.5,6.68
12246.9,6.78
