age,temp
450,10.9
540,10.7
550,10.8
600,10.8
660,10.9
710,10.9
750,10.9
800,10.9
840,11
880,11
930,10.9
970,11
1010,11
1050,11
1080,11.1
1120,11.1
1160,10.9
1200,10.9
1240,10.8
1280,10.7
1320,10.8
1321.32,10.8
1350,10.9
1390,10.8
1420,10.9
1460,11.2
1490,11.5
1540,11.5
1710,11.4
1980,11.4
2240,11.5
2440,11.5
2590,11.5
2740,11.8
2870,11.7
2990,12
3100,11.9
3210,12
3310,12.3
3420,12.2
3510,12.1
3610,12
3630,12
3700,11.9
3790,12
3880,11.8
3960,11.8
4050,12
4130,12
4220,12.1
4300,12.4
4380,12.6
4460,12.3
4540,12.6
4620,12.6
4690,12.7
4770,12.8
4840,12.7
4920,12.8
4990,12.9
5060,12.9
5130,12.9
5200,12.8
5220,12.9
5270,13.2
5340,13.3
5400,13.1
5470,13
5540,13.2
5600,13
5660,13.4
5730,13.4
5790,12.7
5850,12.9
5910,13.4
5970,13.1
6030,13.5
6090,13.3
6140,13.2
6200,13.6
6260,13.2
6320,13.7
6370,13.4
6430,13.4
