age,temp
61.87,4.55
143.17,4.46
208.21,6.85
273.26,5.98
338.3,8.73
403.34,6.94
419.6,5.36
468.38,9.5
598.46,7.4
663.5,7.05
696.02,6.59
728.54,8.34
793.58,7.49
907.4,9.33
943.47,7.41
1130.82,7.63
1505.53,8.12
1599.2,8.23
1692.88,7.31
1880.23,7.33
1973.91,9.25
2067.59,6.79
2114.43,6.17
2254.94,8.51
2348.62,7.08
2442.3,9.12
2535.97,7.76
2629.65,6.07
2723.33,4.79
2817,7.75
2910.68,5.21
3004.36,4.74
3191.71,6.82
3285.39,8.35
3379.06,10.09
3472.74,6.29
3566.42,7.75
3753.77,8.55
3847.45,5.84
3941.12,8.43
4034.8,7.22
4128.48,9.76
4222.15,9.99
4315.83,9.76
4409.51,7.55
4503.19,7.91
4596.86,7.76
4690.54,5.69
4784.22,8.31
4877.89,5.38
4971.57,4.79
5065.25,7.96
5158.92,7.95
5252.6,8.24
5346.28,7.05
5439.95,7.22
5533.63,6.98
5627.31,7.57
5720.98,7.97
5814.66,8.19
5908.34,8.73
6002.01,6.88
6095.69,4.75
6189.37,6.31
6283.04,6.36
6376.72,5.45
6470.4,6.95
6564.07,7.94
6751.43,8.78
6845.11,6.82
6938.78,6.69
7079.3,7.08
7126.14,7.78
7219.81,7.19
7313.49,9.53
7594.52,8.2
7688.2,8.13
7781.87,9
7969.23,10.33
8062.9,9
8156.58,8.11
8343.93,9.49
8437.61,9.95
8531.29,9.31
8718.64,8.35
8906,1.9
8999.67,9.77
9093.35,11.99
9280.7,8.79
9374.38,11.65
9468.06,9.48
9749.09,10.79
9842.76,9.24
9936.44,9.1
10030.12,8.97
10123.79,9.45
10170.63,8.71
