age,temp
172,22.3
862,22.3
1552,22.6
2242,22.8
2931,22.6
3046,23.1
3736,22.9
4665,22.8
5594,23
6383,22.5
7262,22.3
7731,23.5
8201,24.4
8670,23.4
9139,23.4
9609,21.9
10078,22.3
10547,22
11017,22.6
11486,22.2
11955,22.4
12425,22.6
12894,22.1
12992,21.7
13461,21
13930,21.1
14400,21.1
14869,21.5
15338,21
15808,19.4
16277,20.6
16609,20.8
16941,20.5
17107,20.1
17439,20.1
17772,19.8
18104,21.1
18436,20.6
18769,20.7
19101,21.7
19668,20.8
20234,21
20801,21.3
21367,20.7
21934,21.8
22500,21.3
23067,21.8
24200,21.9
24766,21.6
25333,20.6
25899,20.9
26466,20.7
27032,20.1
27599,20.3
28165,21.3
