age,temp
21,24.9
312,27.5
429,27
458,25
516,25
545,24.8
574,26.5
721,27.4
773,26.5
826,26.4
879,25.2
931,25.7
1321,26.8
1532,25.6
1743,25.5
1848,25.4
1953,26.7
2164,26
2375,25.5
2533,26.8
2585,24.5
2638,25.7
2686,26.3
2770,26.2
2940,24.5
3109,26.3
3194,26.4
3279,25.2
3363,26.5
3448,26.5
3541,27.2
3660,26.4
3778,26.4
3896,26.2
4074,25.9
4133,26.9
4489,26.8
4607,24.9
4722,26
4827,26.6
4931,28
4983,26.2
5035,26.9
5088,25.7
5140,27.3
5244,25.8
5349,25.7
5432,26.4
5537,25.8
5641,25.9
5746,26.5
5798,25.4
5850,27.1
5902,25.6
5955,26.6
6059,26.3
6164,25.7
6268,27.6
6372,26.2
6477,26.9
6581,26.1
6686,26.3
6790,26.3
6895,25.9
6935,25.7
6976,26.2
7017,23.8
7037,24.4
7078,23.5
7176,26.9
7351,25.9
7578,26.2
7696,25.7
7776,26.4
7855,26.1
7934,26.5
8092,26
8171,25.2
8250,26.7
8329,25.6
8408,26.6
8487,25.7
8567,25.9
8646,25.3
8804,24.8
8883,26.2
8962,24.2
9041,26
9120,26.1
9199,25.9
9278,25.8
9358,26.9
9437,26.5
9595,27.2
9674,26.7
9753,27.6
9886,25.6
9953,27.1
10019,26.7
10153,26.6
10219,25.9
10286,26.4
10352,25.5
10419,25.6
10539,24.4
10672,25.7
10739,27.2
10805,24.3
10872,25.6
10938,26.6
11071,23.8
11205,25
11271,26.6
11338,25.6
11404,25.5
11471,26.4
11604,24.6
11710,24.1
11758,25.6
11907,23
11955,24
12003,23.7
12051,23.8
12099,24.4
12147,22.9
12195,23.9
12243,23.3
12291,24.1
12388,22.9
12436,23.8
12484,23.4
12580,22.7
12628,24.1
12676,24
12859,25.5
13082,24
13156,23.2
13231,23.4
13305,23.3
13380,24.9
13417,24.4
13454,21.8
13491,25
13529,25.6
13603,25.5
13678,25.5
13827,24
13901,24.6
13976,25.7
14128,24.3
14207,24.6
14281,22
14430,24.9
14654,24.1
14803,21.9
14877,25.2
14952,23.1
15026,23.6
15101,21.8
15223,22.7
15335,22.8
15448,23.2
15550,23.4
15662,24.2
15719,24.3
15775,21.3
15832,22.8
15888,21.5
15944,21.6
16057,21.3
16114,22.8
16226,22
16339,21.9
16396,23
16452,23.2
16508,23.7
16565,21.3
16621,21.7
16678,22.4
16847,21.2
16960,21.4
17072,20.2
17178,23.2
17281,21.6
17332,23.4
17384,21.7
17590,20.8
17693,21.8
17909,23.4
18012,20.3
18115,20.8
18166,23
18269,23.4
18630,21.1
18784,21.8
