age,temp
1458,20
2722,20.2
3697,19.6
4474,20.1
4953,19.9
5452,20.6
5983,20.5
6372,20.8
6551,20.6
6729,20.3
6908,20.6
7086,20.6
7265,20.7
7443,20.5
7622,20.7
7800,20.2
7979,20.1
8223,20.1
8260,20.5
8298,20.9
8335,21
8373,20.5
8410,20.6
8448,20.9
8485,20.6
8523,21
8560,20.7
8598,21
8635,20.9
8673,20.7
8710,20.2
8748,20.4
8785,20.9
8823,20.9
8860,20.9
8898,20.8
8935,20.8
8950,21.1
8966,20.6
8981,20.6
8997,21.2
9012,20.8
9043,20.8
9059,20.8
9074,21.3
9090,21
9105,21.3
9121,21.6
9136,21.4
9151,21.1
9167,21.5
9182,21.3
9198,21.5
9213,20.8
9229,20.7
9277,21.2
9375,20.8
9473,20.8
9571,20.8
9669,20.8
9767,20.5
9865,21.2
9963,20.4
10061,19.6
10159,20.8
10257,21.2
10355,21.3
10453,22
10551,21.8
10700,21.3
10924,21.3
11148,21
11372,21.3
11596,20.4
11820,19.2
12044,19
12268,17.2
12492,18
12754,15
13074,19.2
13393,19.2
13713,18.7
14033,18.8
14353,18.6
14672,18.3
14992,19.1
15312,19.2
15631,19
15951,18.8
16203,14.8
16505,16.5
16656,15
16807,15.3
16958,14.9
17259,15.2
17410,14.8
17561,14.6
17863,14.3
18013,15.3
18164,16.5
18370,16.6
18792,17.4
19215,16.3
19637,16.5
20060,16.6
20482,16.6
20905,16.1
21328,16.1
