age,temp
1050,27.36
1198.8,27.14
1347.5,27.73
1496.3,27.71
1645,27.54
1793.8,28.06
1942.5,27.76
2091.2,27.16
2240,28.27
2388.8,27.73
2537.5,27.49
2686.2,28.04
2835,28.2
2983.8,27.92
3132.5,28.23
3281.2,27.41
3430,27.46
3589.6,27.78
3749.1,27.8
3908.7,27.73
4068.2,28.13
4227.8,28.16
4546.9,27.85
4866,28.2
5025.6,27.87
5185.1,27.09
5344.7,27.51
5823.3,27.95
6142.4,29.03
6461.6,27.87
6780.7,28.18
6940.2,27.87
7099.8,27.78
7259.3,27.87
7418.9,27.9
7578.4,27.92
7738,27.85
7897.6,28.16
8057.1,27.49
8216.7,27.76
8376.2,28.48
8535.8,28.16
8695.3,27.49
8854.9,27.26
9014.4,28.25
9174,28.39
9333.6,28.13
9493.1,27.78
9652.7,28.57
9812.2,28.43
10291,27.54
10610,27.46
10893,27.44
11176,27.59
11459,27.26
11772,27.04
12117,27.16
12289,26.35
12633,26.43
12806,26.15
12978,26.91
13150,26.54
13288,26.64
13322,26.56
13494,27.46
13632,26.64
13667,27.26
13839,26.72
13977,27.06
14011,26.62
14321,26.4
14356,25.67
14666,26.26
14700,26.01
14826,25.44
14840,26.1
14966,26.13
15106,25.9
15386,26.93
15526,26.07
15666,26.18
15806,25.73
15946,26.32
16086,25.56
16226,26.04
