age,temp
1200,26.8
1500,26.9
2100,26.9
3800,27.2
4300,27.4
4700,27.2
5300,27.1
5700,27.1
6100,27.3
6400,27.4
6700,27.5
7100,27.5
7200,26.8
7400,27.2
7900,26.6
8000,26.5
8000,26.5
8000,26.6
8100,26.5
8100,26.4
8100,26.6
8209,26.8
8345,26.7
8521,26.8
8723,26.8
8922,26.9
9152,26.9
9411,26.1
9644,26.3
9849,26.3
10069,26.1
10154,26.4
10359,26.3
10457,26.2
10662,26.1
10887,26.4
11049,26.3
11143,26.4
11340,26.2
11384,26.3
11474,26
11702,25.8
11862,25.9
11980,25.8
12162,25.8
12362,26.1
12585,26
12834,25.9
13113,26
13427,26.1
13814,26.1
14250,26.1
14691,26.1
15175,25.9
15704,24.9
16277,24.7
16894,24.6
17351,25.4
18036,24.6
18906,25
19587,24.2
20445,25
20700,25.3
21200,25.4
21800,25.1
22300,25.3
22900,25.3
23400,25.2
23900,25.4
24600,25.6
25000,25.3
25500,25.9
26000,25.8
26600,26
27100,25.8
27600,25.1
28200,25.3
28700,25.6
29300,25.8
29800,25.6
30300,25.5
30800,25.9
31300,25.7
31900,25.6
32400,26
32900,25.3
33500,25.4
34000,26.2
34600,26.1
35200,26.3
35800,25.7
36400,25.6
37000,25.8
37600,25.9
38300,25.6
39000,25.7
39700,25.8
40500,26.2
41300,26
42100,26.5
43000,26.6
43900,26.7
44900,26.4
