age,temp
751,29.2
1102,29.2
1219,28.9
1453,29.7
2038,29
2271,28.9
2638,28.8
3704,29.1
4032,29.1
4439,28.8
4859,28.8
5279,28.9
5699,29.3
6119,29.6
6539,29.2
6959,28.5
7379,30
8012,28.7
8437,28.6
8863,29.5
9289,28.9
9714,28.9
10140,29.1
10566,28.7
10779,28.8
11211,29
11668,28.1
12125,27.5
12262,28.3
12399,28
12554,27.6
12650,27.7
12746,27.4
13195,27.8
13515,28.6
13835,27.3
14155,27.5
14476,27.3
14796,28
15116,27.3
15436,26.4
16077,26.7
16397,26
16621,26.4
17037,26.6
17358,26.2
17678,26.2
17936,26.1
18187,26.1
18438,26.2
18689,25.1
18941,25.7
19192,25.5
19443,25.5
19694,25.5
19945,25.5
20196,26.8
20447,26.5
20699,25.3
20950,25.9
21423,25.4
21951,25.5
22480,25.4
23009,25.9
23537,26.8
24066,25
