age,temp
492,26.7
857,25.8
1222,24.5
1404,24.8
1768,25.9
2133,27.1
2315,26.6
2680,25.2
3045,28
3227,26.1
3592,28.3
3956,28
4138,24.9
4503,26.1
4868,27.4
5050,26.1
5245,26.4
5440,26.2
5538,26.3
5733,27.1
5928,26.7
6025,26.3
6220,26.4
6416,26.7
6513,25.7
6708,26.6
6903,26.2
7001,26.6
7196,26.7
7391,25.3
7488,28.2
7684,25.9
7879,25.9
7976,26.7
8171,26.6
8366,26
8464,26.3
8659,24.2
8854,25.9
8952,27.2
9147,26.1
9342,26.7
9439,27
9634,25.8
9829,26.3
9927,26.9
10122,25.9
10317,26
10415,25.9
10610,26.5
10805,25.2
10902,27.7
11097,25.5
11292,26.3
11390,26.5
11599,26.3
11807,25.9
11911,25.3
12120,25.5
12328,26.6
12433,26.3
12641,25.7
12954,25.9
13475,26.2
13684,25.7
13996,26.1
14205,26
14518,25.2
14726,25.9
15039,26.3
15247,25.7
15560,26.2
15740,23.5
16010,26
16190,25.4
16460,24.4
16640,24.9
16910,25.5
17090,25
17360,24.8
17540,24.2
17810,24.3
17990,24.4
18260,24
18710,23.4
18890,23.4
19160,23.7
19340,23.2
19610,23.9
19790,24.1
20060,23.4
20510,24
20604,23.3
20745,24.2
20981,24
21075,23.8
21216,23.6
21310,23.8
21796,24.5
22120,24.6
22297,24.4
22415,24.6
22592,24.6
22710,25
22887,25.4
23005,24.6
23182,25.6
23440,25.4
23533,24.3
23673,24.9
23767,25.4
23907,25.5
24000,25.5
24390,24.6
24650,24.7
25040,24.3
26990,25.2
27640,25.2
28290,25
