age,temp
492,26.73
857,25.77
1222,24.48
1404,24.75
1768,25.85
2133,27.08
2315,26.61
2680,25.24
3045,28.01
3227,26.1
3592,28.25
3956,27.96
4138,24.89
4503,26.12
4868,27.43
5050,26.07
5245,26.36
5440,26.2
5538,26.26
5733,27.07
5928,26.68
6025,26.32
6220,26.44
6416,26.74
6513,25.69
6708,26.56
6903,26.18
7001,26.6
7196,26.65
7391,25.3
7488,28.21
7684,25.86
7879,25.86
7976,26.68
8171,26.59
8366,26.03
8464,26.31
8659,24.16
8854,25.9
8952,27.16
9147,26.11
9342,26.67
9439,26.99
9634,25.8
9829,26.25
9927,26.88
10122,25.89
10317,25.96
10415,25.92
10610,26.5
10805,25.24
10902,27.71
11097,25.49
11292,26.27
11390,26.5
11599,26.32
11807,25.91
11911,25.27
12120,25.48
12328,26.61
12433,26.26
12641,25.74
12954,25.9
13475,26.2
13684,25.66
13996,26.14
14205,26.01
14518,25.24
14726,25.88
15039,26.26
15247,25.65
15560,26.24
