age,temp
530,13.5
620,13.9
640,12.7
680,13.1
710,13.5
770,13.8
830,13.5
1070,13.6
1110,12.8
1230,13.7
1350,12.5
1550,14.9
1630,13.5
1790,13.6
2040,14.1
2140,13.7
2290,13.5
2400,15
2470,11.7
2650,13.8
2760,14.3
2830,12.8
2970,14.3
3120,13.4
3190,13.4
3330,15.5
3470,14.3
3550,12.4
3650,13.1
3760,13.6
3920,14.3
4250,15.2
4350,13.8
4460,15.4
4620,13.2
4890,14
5000,15.1
5320,13.5
5430,13.5
5540,14
5700,12.7
5970,13.5
6080,13.7
6240,12.8
6400,15.6
6610,13
6970,14.1
7060,13.5
7190,13.3
7410,13.9
7500,13.8
7630,12.4
7770,15.1
7850,12.7
7940,14.4
8060,11.7
8180,14.1
8260,11.7
8340,14.4
8460,12.4
8580,13.9
8620,12.9
8740,13.1
8830,13.2
8960,11.7
9038,13.5
9084,12.5
9198,12.4
9274,14.4
9426,13.6
9509,11.7
9593,13
9714,11.7
9790,13.8
9912,11.7
9995,12.9
10117,11.7
10201,12.9
10406,12.5
10641,12.9
10885,13.3
11120,13.6
11363,12.6
11538,12.2
11835,8.4
12425,8
12970,9.6
13140,8.4
13320,13
13500,13.5
13875,9.7
14021,10.4
14094,12.7
14167,12.2
14273,12.2
14378,12.1
14797,7.7
15391,5
15973,7.2
16228,5.1
16725,7
17792,6.4
18569,7.2
19333,5.6
19842,7.2
20363,6.6
21067,5.5
21770,7.2
22328,5.5
22922,7.4
