age,temp
19,25.71
208,26.24
397,25.79
586,26.09
782,26.42
1052,26.41
1321,25.77
1590,26.08
1857,26.39
2105,26.48
2352,26.02
2599,26.6
2846,26.59
3094,27.14
3341,26.64
3588,26.94
3833,26.49
4055,25.79
4276,27.32
4497,30.04
4719,26.73
4940,26.96
5162,26.61
5383,26.77
5597,27.17
5743,26.93
5888,26.39
6034,26.81
6179,26.6
6325,27.36
6470,27.13
6616,26.3
6762,26.76
6907,26.25
7058,27.32
7211,26.67
7365,26.32
7509,26.57
7641,26.46
7773,26.51
7903,26.65
8018,27
8132,26.72
8247,26.97
8362,26.45
8477,27.92
8591,26.69
8706,26.74
8821,26.55
8936,26.9
9053,26.03
9222,27.3
9391,28.56
9560,28.2
9729,27.28
9898,27.6
10067,27.96
10236,27.32
10405,27.57
10572,30.98
10738,31.36
10905,28.2
11072,27.77
11207,28.44
11309,28.65
11623,30.76
11937,32.29
12251,30.58
12551,29.33
12734,29.36
12917,28.17
13100,26.98
13304,26.65
13591,26.22
13858,25.39
14125,27.5
14651,27.08
