age,temp
19,25.7
208,26.2
397,25.8
586,26.1
782,26.4
1052,26.4
1321,25.8
1590,26.1
1857,26.4
2105,26.5
2352,26
2599,26.6
2846,26.6
3094,27.1
3341,26.6
3588,26.9
3833,26.5
4055,25.8
4276,27.3
4497,30
4719,26.7
4940,27
5162,26.6
5383,26.8
5597,27.2
5743,26.9
5888,26.4
6034,26.8
6179,26.6
6325,27.4
6470,27.1
6616,26.3
6762,26.8
6907,26.3
7058,27.3
7211,26.7
7365,26.3
7509,26.6
7641,26.5
7773,26.5
7903,26.7
8018,27
8132,26.7
8247,27
8362,26.5
8477,27.9
8591,26.7
8706,26.7
8821,26.6
8936,26.9
9053,26
9222,27.3
9391,28.6
9560,28.2
9729,27.3
9898,27.6
10067,28
10236,27.3
10405,27.6
10572,31
10738,31.4
10905,28.2
11072,27.8
11207,28.4
11309,28.7
11623,30.8
11937,32.3
12251,30.6
12551,29.3
12734,29.4
12917,28.2
13100,27
13304,26.7
13591,26.2
13858,25.4
14125,27.5
14651,27.1
15221,28.4
15792,29.2
15936,29.8
16021,28.5
16088,28.6
16201,27.6
16346,28.4
16491,28.4
16636,26.5
16781,28
17005,26.2
17263,25.6
17521,24.9
17779,24.2
18037,22.9
18295,23.5
18553,23
18811,24.4
19069,22.8
19326,22.8
19584,22.5
19842,22.4
20100,22.4
20358,22.9
20616,22.5
20874,22.8
21132,22.5
21390,23.4
21648,22.8
21906,22.6
22164,22.5
