age,temp
19,26.3
208,26.3
397,26.3
586,26.5
782,26.4
1052,26.6
1321,26.1
1590,26.2
1857,26.3
2105,26
2352,25.9
2599,26
2846,25.7
3094,26.4
3341,26
3588,26
3833,25.6
4055,25.5
4276,25.7
4497,25.8
4719,25.7
4940,25.9
5162,25.8
5383,26
5597,25.6
5743,25.9
5888,25.7
6034,25.9
6179,25.7
6325,26.1
6470,26.1
6616,26.1
6762,25.8
6907,25.8
7058,26.1
7211,25.7
7365,25.8
7509,25.6
7641,26
7773,25.9
7903,25.5
8018,25.5
8132,25.8
8247,26.1
8362,25.9
8477,26
8591,26.2
8706,25.8
8821,25.9
8936,26.2
9053,26.2
9222,25.6
9391,26
9560,25.9
9729,26
9898,25.9
10067,25.7
10236,25.6
10405,25.6
10572,25.4
10738,25.6
10905,25.6
11072,26
11207,26.1
11309,26.1
11623,26.1
11937,26.2
12251,26
12551,26
12734,25.9
12917,25.9
13100,25.8
13304,25.7
13591,25.8
13858,25.7
14125,25.7
14651,25.9
15221,25.9
15792,26.1
15936,25.7
16021,25.9
16088,25.7
16201,25.9
16346,25.6
16491,25.9
16636,25.6
16781,25.6
17005,25.7
17263,25.7
17521,25.5
17779,25.6
18037,25.9
18295,25.2
18553,25.6
18811,25.2
19069,25.5
19326,25
19584,25.4
19842,25.3
20100,25.4
20358,25.4
20616,25.6
20874,25.2
21132,25.6
21390,25.4
21648,25.8
21906,25.1
22164,25.5
22422,25.4
22680,25.8
22938,25.5
