age,temp
1313,28
1405,27.3
1997,27.5
2316,26.3
2545,26.6
2818,26.1
3092,26.4
3366,27.4
3593,27.9
3956,27.8
4225,28.5
4449,28.2
4582,28.5
4848,27.9
4980,29.1
5244,28.6
5507,29
5726,29.1
6031,27.9
6205,27.4
6291,27.9
6418,27.2
6628,29.4
6752,30.3
6853,27
6933,27.4
7052,26.8
7323,27.7
7514,27.4
7743,27.3
7818,27.8
7969,26.7
8082,26.4
8194,26.9
8343,27.7
8600,27.2
8782,27.8
8854,28
9247,27.9
9493,28.2
9668,28
9842,28.2
9981,28.2
10224,28.3
10398,28
10609,27.8
10680,28.4
10751,32.1
10967,27.5
11150,28.6
11225,28.9
11337,27.1
11451,26.5
11527,27.2
11605,30.2
11802,26.4
11924,26.1
12218,26
12348,26.1
12574,25.8
12714,24.7
12906,24.9
13157,25.3
13418,25.1
13581,25.1
13861,26.4
13977,26.1
14153,25.5
14394,25.1
14580,25.3
14706,24.7
14898,25.2
15028,26.2
15159,26
15292,25.5
15494,25.2
15837,25.5
16117,25.7
16331,25.1
16619,27.7
16765,24.2
16986,24
17135,25
17510,25.1
17891,24.4
18122,24.6
18354,24.5
18901,24.2
19295,24.3
19691,24
20009,24.3
20406,23.6
