age,temp
100,8.32
260,8.31
420,8.44
560,8.66
710,9.4
860,9.55
1000,9.15
1150,8.86
1280,9.59
1410,9.7
1540,9.09
1660,9.33
1790,9.65
1920,9.77
2050,9.58
2180,10
2320,9.75
2430,10.01
2560,9.47
2680,9.95
2800,11.08
2930,9.55
3050,9.68
3170,10.16
3290,10.7
3400,10.14
3520,10.29
3630,10.24
3740,10.58
3850,10.22
3980,10.07
4120,10.61
4260,10.97
4400,10.64
4540,10.77
4670,11.11
4810,11.51
4950,11.12
5070,11.19
5160,11.19
5300,11.12
5430,11.79
5570,11.39
5710,11.87
5850,11.89
5990,12.05
6130,12.07
6260,11.99
6400,12.11
6510,12.55
6560,12.51
6610,12.65
6740,12.95
6870,12.94
7010,12.82
7140,12.67
7270,12.71
7410,12.75
7540,12.27
7740,13.29
8000,15.16
8250,14.73
8510,15.31
8570,15.37
8640,15.42
8700,16.47
8760,16.19
8820,16.36
8880,15.55
8940,16.08
9000,16.25
9030,16.09
9100,15.54
9160,15.91
9220,15.88
9310,15.61
9380,16.33
9440,16.43
9490,16.38
9530,16.5
9610,16.01
9650,16.26
9690,16.18
9770,16.68
9810,17.04
9850,16.94
9890,16.69
9930,16.7
9970,16.75
10010,16.39
10050,16.99
10090,17.34
10130,16.4
10170,15.84
10210,15.64
10250,16.38
10290,16.42
10370,15.96
10470,17.19
10580,17.13
10680,17.4
10780,17.4
10890,17.38
10990,17.35
11100,17.04
11200,17.37
11310,18.63
11410,18.18
11520,17.47
11620,17.36
11720,18.14
11830,17.91
