age,temp
160,11.65
290,11.45
550,11.3
680,11.4
820,11.6
950,11.3
1210,11.5
1340,11.5
1470,11.7
1610,11.6
1870,11.45
2000,11.25
2130,10.9
2260,11.5
2530,11.8
2660,11.9
2790,12.1
2920,11.6
3180,12.2
3320,11.3
3450,10.5
3580,10.8
3840,11
3970,10.7
4110,11
4240,10.6
4500,11.2
4630,10.4
4760,10.6
4890,10.4
5180,10.5
5290,10.5
5420,10.6
5520,10.7
5730,10.8
5830,10.7
5940,10.8
6050,10.8
6260,10.4
6370,10.2
6490,9.8
6580,10.1
6790,10.4
6920,10.2
7000,10.7
7110,10.6
7320,10.4
7430,10.4
7540,10.9
7730,10.9
7840,10.6
7940,11.5
8050,10.8
8200,10.2
8390,11.3
8490,11.3
8600,11.8
8710,11.3
8920,11.7
9030,11.7
9130,11.7
9260,11.5
9370,11.9
9560,11.8
9660,11.1
9770,12.7
9970,12.8
10050,13.2
10170,11.6
10220,12
10350,11.9
10400,11.9
10520,11.6
10580,11.7
10660,11.3
10720,11.5
10770,11
10830,10.8
10990,10.3
11070,11.2
11150,13.1
11310,12.5
11410,11.7
11490,11.1
11570,9.55
11730,8.4
11800,8
11960,8
12130,7.7
12210,7.6
12280,7.5
12360,7.6
12520,7.55
12600,7.3
12680,7.4
12840,8.1
12920,8.5
13010,9.4
13090,10.8
13170,10
13330,10.3
13410,10.3
13490,10.4
13570,12.9
13730,10.4
13810,10.7
13890,9
13970,10.3
14130,9.7
14210,9
14300,9.3
14380,11.1
14620,12.1
14700,10.8
14780,8.5
14940,11.3
