age,temp
88,21.3
186,19.7
284,18.6
382,17.8
480,21.1
515,19.7
550,22
585,20.15
620,21.65
656,21.15
693,21.8
730,18.95
766,18.25
803,20.25
840,20.3
886,20.05
933,20.35
980,21.35
1026,21.7
1073,21.8
1120,21.95
1166,20.8
1213,21.45
1260,21.35
1306,21.8
1353,21.25
1400,21.3
1515,20.75
1630,21.8
1745,19.35
1860,19.8
1975,19.1
2090,20.45
2270,20.65
2451,20.95
2632,21.05
2813,20.6
2994,19.35
3175,20.5
3355,19.8
3536,21.15
3717,20.75
3898,21.75
4079,21.85
4260,21.8
4321,20.95
4383,21.45
4445,20.9
4507,21.05
4568,20.35
4630,20.2
4692,20.7
4754,20.95
4877,20.9
4939,20.8
5001,21.4
5062,21
5124,21.3
5186,20.9
5248,20.3
5310,19.85
5434,21.1
5559,19.8
5683,19.8
5808,17.85
6057,17.9
6182,17.7
6306,17.2
6431,18.7
6555,18
6680,18.6
6804,18.3
6929,18.3
7054,17.05
7240,17.8
7365,16.95
7490,17.55
7530,16.25
7610,16.5
7650,16.55
7690,16.95
7730,17
7810,17.3
7850,16.7
7890,17.2
7930,15.95
7970,16.35
8010,15.7
8211,17.45
8613,17.6
8814,17.35
9015,17.75
9417,19
9820,18.3
10037,17.95
10145,18.2
10254,16.95
10362,17.2
10471,17.85
10688,17.85
10905,18.3
11014,18.05
11122,19.1
11231,17.65
11340,18.2
11406,17.8
11473,18
11606,17.75
11739,17.5
11872,17.15
12005,17.55
12138,18.05
12271,17
12338,17.2
12404,16.6
12537,17.35
12670,17.3
12803,17.05
12936,16.95
12990,16.85
13030,18.3
13070,17.65
13110,17
13190,17.3
13230,18.15
13270,18.9
13354,18.25
13438,17.95
13606,17.75
13859,17.4
14027,18.55
14146,17.55
14248,17.75
14299,16.95
14350,16.15
