age,temp
10034,15.8
10161,15.4
10330,15.8
10393,15.8
10520,14.9
10709,16
10916,15.6
11059,15.6
11197,15.6
11266,15.5
11335,14.9
11404,15.5
11473,15.3
11542,15.3
11611,15.3
11680,14.9
11749,15
11818,15.1
11887,15.2
11956,14.9
12025,14.8
12094,14.8
12163,15.4
12232,14.7
12301,14.6
12361,14.3
12520,14.1
12626,14.3
12679,13.9
12733,13.3
12786,13.5
12839,13.3
12892,13.3
12945,13.4
12998,13.4
13051,13.2
13104,13.4
13157,13.4
13210,13.9
13263,13.1
13316,13.6
13423,13.3
13476,13.3
13529,13.2
13582,13.2
13635,13.3
13688,12.8
13741,13.2
13879,13.4
14034,13.6
14189,13.6
14357,13
14511,13.3
14666,13.1
14821,12.7
14976,13.2
15268,13.3
15313,13.7
15358,13.5
15385,13.3
15430,13.5
15476,13.4
15521,13.3
15566,13.1
15612,13.2
15657,13.3
15703,12.8
15748,13.2
15793,13.6
15839,13.2
15884,13.4
15941,12.8
15986,12.6
16032,13.1
16077,13.2
16122,13
16217,13.1
16320,12.7
16424,12.9
16528,13.4
16632,12.8
16736,13.7
16840,13.1
16943,12.6
17047,12.1
17151,12.2
17255,12.3
17355,12.6
17384,12.8
17441,13.1
17499,12.6
17528,12.4
17557,12.8
17614,12.9
17672,12.3
17739,11.5
17797,11.5
17855,11.2
17913,11.6
17970,11.4
18028,11.2
18086,10.6
18143,11
18201,10.1
18259,10.4
18316,11.1
18374,10.7
18432,10.9
18490,10.3
18547,10
18605,9.8
18663,9.1
18720,9
18787,8.3
18849,9.2
18917,9
18984,9.4
19052,9.7
19120,9.2
19188,9.4
19256,9.3
19323,8.9
19527,9.7
19793,9.5
19960,11
20072,9.6
20238,10.3
20419,9.8
20590,10.5
20772,10
20964,10.1
21151,9.9
21333,10.3
21454,10.2
21514,9.5
21631,10.4
21800,9.3
21856,9.4
22025,10.5
22194,9
22362,10.1
22475,7.8
22531,8
22700,9.1
22869,9.6
23052,9.8
23200,10
23433,9.2
23620,8.7
23782,9
23937,9.6
24092,10.3
24247,10.6
24325,10.5
24480,10.8
24635,10.8
24719,11
24874,11.2
24953,9.8
24984,10.9
