age,temp
46,20.5
92,20.7
139,20.5
185,20.5
231,20.6
277,20.6
323,20.7
369,20.8
416,20.8
488,20.6
561,20.1
633,20.6
706,19.7
778,18.3
851,19.7
923,20.8
995,20.8
1068,20.7
1140,20.8
1213,20.9
1285,20.7
1358,20.5
1757,20.7
1829,20.4
1902,20.5
1974,20.7
2047,20.4
2119,20.3
2210,20.3
2301,20.4
2392,20.6
2482,20.3
2573,20.7
2664,20.5
2755,20.1
2845,20.6
2936,20.6
3027,20.5
3118,20.6
3208,20.9
3299,21.3
3390,20.9
3481,20.4
3572,20.6
3662,20.7
3799,20.4
3889,20.7
3980,20.9
4071,20.5
4162,20.6
4252,20.7
4343,21.5
4434,21.1
4525,21.1
4616,21
4706,20.6
4797,20.9
4888,20.6
4979,20.8
5069,20.8
5167,21.1
5265,21.3
5363,21.5
5461,21.5
5559,21.3
5657,21.1
5755,21.2
5852,21.2
5950,21
6048,20.9
6097,21.3
6195,21.4
6293,21.5
6391,21.3
6489,21.1
6587,21.3
6684,21.4
6782,21.4
6880,21.2
6978,21.4
7076,21.2
7174,21.3
7272,21.1
7322,21.2
7373,21.2
7424,21.1
7475,20.9
7526,21
7576,20.4
7627,20.3
7678,21
7729,20.3
7780,20.2
7830,20.1
7881,20.4
7932,19.6
7983,19.4
8033,19.6
8084,19.5
8135,19.6
8186,19.6
8237,19.5
8287,19.4
8338,19.7
8389,19.3
8440,19.7
8491,19.6
8541,19.3
8592,19.6
8643,19.6
8694,19.6
8744,19.4
8795,19.4
8846,19.3
8897,19.3
8948,19.2
8998,19.2
9049,19.2
9100,19.1
9253,19.1
9711,18
9864,18.4
10017,18.2
10124,18
10177,17.7
10230,18.1
10402,18.2
10575,18.1
10748,17.9
10921,18.4
11094,18
11267,18.6
11440,18.6
11612,18.9
11785,18.6
11958,18.6
12131,18.4
12304,18.2
12477,18.4
12649,18.7
12822,18.4
12995,18.3
13168,18.2
13341,18
13514,17.9
13673,18
13784,18.1
13896,17.9
14008,18.2
14119,18.2
14231,17.9
14343,18.2
14455,18.7
14566,18.7
14678,18.8
14790,18.9
15010,19.2
15241,18.9
15473,18.9
15704,18.7
15936,18.9
15810,19.5
15915,19.3
16021,19.4
16126,19.4
16232,18.8
16337,18.7
16443,18.4
16548,19.2
16654,18.9
16759,19.6
16865,19.7
16970,20.2
17076,20.1
17181,20.1
17287,19.8
17394,19.6
17501,19.5
17609,19.2
17716,19.4
17823,19.2
17930,19.3
18037,19.6
18144,19.8
18252,19.8
18359,19.7
18466,20
18573,19.9
18680,20
18788,20.3
18895,20.3
19002,20
19109,19.4
19216,19
19323,18.9
19431,19
19538,18.5
19645,18.5
19847,17.9
20085,17.2
20260,16.2
20435,16.9
20610,16.9
20785,16
20960,18.1
21135,17.1
21310,17.8
21485,18.4
21660,18.8
21835,18.2
22010,18.2
22185,18.6
22360,18.8
22535,17.5
22710,17.9
22885,17.7
23060,18
23236,17.6
23411,18.7
23586,18.6
23761,18.8
23936,19
24111,18.9
24286,18.9
24461,18.8
24636,19
24811,19
24986,19
25161,18.6
25336,18.2
25511,18.3
25697,18.8
25750,19.2
25802,18.8
25855,18.9
25908,19
25960,18.6
26013,18.4
26191,18.8
26344,18.2
26497,17.9
26651,17.8
26804,18
26957,18.8
27111,18.6
27264,18
27418,17.8
27571,17.9
27724,18.1
27878,18.6
28031,19
28184,18.8
28338,18.6
28491,19.1
28644,19.5
28798,19
28951,18.9
29105,18.9
29258,18.7
29411,18.8
29565,19.3
29718,18.9
29871,19.1
30025,19.2
30178,19.1
30331,19.2
30485,19.1
30638,19
30791,18.6
30945,18.8
31098,18.9
31252,19.3
31405,19.1
31558,19.2
31712,18.9
31865,18.6
32018,19.1
32172,18
32325,18.8
32478,19
32632,19.3
32785,19.1
32939,19
33092,18.6
33245,17.9
33399,18.3
33552,17.9
33705,18
33859,18
34012,19.1
34165,17.8
34319,16.2
34472,16.7
34625,17.4
34779,17
34932,16
35086,16.6
35239,16.6
35392,16.6
35546,16.6
35699,15.9
35852,16.9
36006,17.1
36159,16.8
36312,17
36543,16.2
36696,14.2
36849,17.5
37003,15.8
37156,16
37309,15.9
37463,16.1
37693,17.6
37846,18.9
38306,18.9
38766,19
39226,19
39686,17.4
40146,18.9
40607,19
41067,19
41527,19.1
41987,19.2
42447,19.4
42907,18.4
43367,19.2
43827,19
44287,19.1
44747,18.6
45207,18.7
45667,18.9
46128,18.8
46588,19
47048,19
47508,19.4
47968,19.6
48428,19.4
48888,19.3
49348,19.3
49808,19.2
50268,18.6
50728,18.1
51188,16.9
51649,18.4
52109,17.9
52569,17.9
53182,18
53642,18.1
54102,18.2
54562,18.8
55022,17.9
55483,18.8
55943,18.6
56403,18.4
56863,18
57323,18.2
57783,18
58243,18.4
58703,18.1
59094,18.4
59432,18.4
59771,18.6
60109,17.6
60335,18
60674,18.3
61012,17.6
61351,17.7
61689,17.7
62028,17.5
62366,17.8
62705,17.1
63044,16.8
63382,16.2
63721,17.5
64059,15.9
64398,15.5
64736,16.7
65075,17.2
65414,17.2
65752,17.2
66091,18.1
66429,18.1
66768,18.1
67106,17.3
67445,17.4
67783,17.5
68122,17.5
68461,16.5
68799,18.1
69138,17.9
69692,18.3
70290,19
70887,19.1
71485,19.1
72083,18.9
72680,19.3
73278,20.1
73876,19.9
74473,19.6
75071,20.1
75668,19.4
76266,20.4
76864,19.6
77461,19.9
78059,20.6
78657,20.5
79254,20.9
79676,20.1
80099,20.3
80522,20
80945,19
81368,19.2
81791,19.4
82214,19.1
82637,18.3
83060,18.5
83483,18.5
83906,18.7
