age,temp
325,14.5
348,14.8
370,15
392,14.9
415,15.3
437,14.9
459,15.3
482,15.4
504,15
526,15.2
549,15.3
571,14.9
593,15.1
616,15.2
638,15.1
660,15.2
683,15.4
705,15.3
721,15.1
749,15.8
778,16.1
807,16.4
836,16.2
868,15.4
896,16.5
925,16.1
954,15.9
982,16.2
1011,16.1
1039,17
1068,16.6
1096,15.1
1125,16.2
1153,15.8
1182,15.6
1210,16.6
1239,16.3
1267,16.7
1296,16.9
1325,16
1353,15.9
1382,16.2
1410,16.1
1430,16
1450,16.4
1470,15.6
1490,15.9
1511,15.9
1531,15.5
1551,16.2
1571,15.9
1591,15.7
1611,15.6
1631,15.8
1651,15.7
1671,15.5
1691,15.4
1711,15.3
1731,15.6
1752,15.5
1772,15.9
1792,16.4
1812,15.5
1832,15.2
1852,15.1
1872,15.3
1896,15.3
1920,15.1
1940,15.7
1960,15.5
1980,15.9
2000,15.8
2020,15.8
2040,15.7
2060,16
2080,16.4
2100,16.6
2120,16.5
2140,17.1
2160,17
2180,16.2
2200,16.4
2220,16.4
2240,16.4
2260,16.4
2280,16.5
2300,16.4
2317,16.5
2334,16.8
2351,17
2368,16.8
2385,16.1
2402,16.7
2419,17
2436,16.9
2453,16.5
2470,16.5
2487,16.6
2504,16.4
2521,16.2
2538,16.4
2555,16.1
2572,16.5
2589,16.4
2606,16.6
2623,16.3
2643,15.8
2660,15.8
2715,16.2
2769,16.3
2824,16
2878,16.7
2933,16.2
2987,16.2
3042,16.4
3096,16
3151,16
3205,15.9
3259,16.1
3314,15.6
3368,16
3423,16.1
3477,15.5
3532,15.9
3586,16.1
3641,16.3
3695,16.5
3750,16.4
3804,16.6
3859,16.8
3913,16.5
3968,16.5
4022,16.7
4077,16.2
4131,15.8
4186,16.5
4240,16.5
4295,16.6
4349,16.5
4404,16.1
4458,16.9
4513,16.4
4568,16.5
4622,16.6
4677,15.9
4731,16.1
4786,16.4
4840,16.1
4895,16
4949,16.3
5004,15.7
5058,15.5
5112,16.1
5167,16
5221,16.3
5276,16.3
5330,16.4
5385,16
5439,16.3
5481,16.6
5523,16
5564,16.7
5606,16.6
5648,16.3
5689,16.6
5731,16.7
5772,16
5814,16.5
5856,16.3
5897,15.9
5939,16.8
5981,16.3
6064,16.2
6106,16.4
6147,15.8
6189,16.8
6397,17.2
6439,16.8
6480,16.9
6545,16.5
6610,17
6675,16.5
6740,16.4
6805,16.6
6869,16.7
6934,16.6
6999,16.7
7064,16.7
7129,16.5
7213,16.8
7278,16.7
7342,17.1
7407,17.5
7471,16.5
7512,17
7553,17.3
7595,16.7
7636,16.7
7677,16.8
7718,16.3
7760,16.6
7801,16.3
7842,16.1
7883,16.4
7925,16.2
7966,16.5
8007,16.1
8048,15.8
8089,15.4
8222,15.7
8356,15.7
8489,15.5
8622,15.9
8756,15.7
8889,15.5
9023,15.9
9156,15.1
9289,14.9
9423,15.4
9556,15.2
9689,14.1
9823,14.7
9956,14.7
10090,13.8
10223,14.7
10356,14.2
10490,14
10623,13.7
10756,12.8
10890,12.1
11023,12
11157,11.8
11290,11.5
11535,11.6
11657,12.4
11780,11.5
12027,11.2
12274,11
12521,11.4
12845,11.3
13170,10.6
13492,10.7
13646,10.7
13799,10.6
13954,10.5
14180,10.8
14405,10.1
14630,10.3
14760,10.1
14891,9.4
15021,9.5
15151,10
15280,10.2
15412,10.9
18165,13.1
18382,12.9
18599,13
18816,12.8
19033,12.9
19250,12.6
19467,12.8
19684,13.8
19901,13.5
20119,13.3
20336,12.6
20553,13
20770,13
20987,13.3
21204,12.9
21508,12.7
21726,12.8
21944,13.1
22162,13.3
22380,12.9
22598,13.4
22816,12.8
23035,12.9
23253,13.2
23471,13.2
23689,12.8
23907,13.2
24125,13.4
24343,13.3
24561,12.4
24780,13.4
24998,13.4
25216,13.2
25434,13.2
25655,13
25712,14.1
25769,13.9
25826,13.7
25882,14.6
25939,14.3
25996,14.2
26053,14.1
26110,13.8
26166,13.8
26223,14.1
26280,13.9
26337,13.8
26393,14.7
26450,14.2
26507,14.2
26564,15
26621,16
26677,15.4
26734,14.3
26791,14.1
26848,14.9
26904,14.6
26961,13.8
27018,13.9
