age,temp
305,26.9
465,26.5
551,26.5
711,27
797,26.7
945,26.8
1037,26.9
1187,26.5
1268,26.5
1383,26.7
1528,26.9
1673,26.9
1818,27.4
1963,27.2
2108,26.1
2257,26.8
2451,26.4
2644,26.7
2837,26.6
3030,26.9
3223,27
3446,26.4
3787,26.1
4127,26.2
4468,26.3
4635,26.8
4801,26.3
4968,27
5135,26.4
5321,26
5587,26.5
5800,26.3
6119,25.9
6385,26.9
6868,27.1
7109,27.3
7350,27.3
7592,26.4
7838,27.7
8126,27.1
8432,27.1
8720,26.8
8909,26.7
9101,27
9294,26.2
9684,27.2
9805,27.7
9956,27.7
10057,26.8
10141,26.7
10226,26.5
10311,26.7
10396,26.2
10537,27.1
10610,26.4
10731,27.3
10897,26.7
10991,27
11085,25.8
11202,25.8
11320,27.3
11391,27.8
11424,25.9
11466,26.2
11508,25.2
11550,25.8
11613,24.3
11679,24.6
11745,24
11801,25
11841,23.7
11881,23.6
11921,24.6
11961,24
12001,24.3
12049,25
12081,23.4
12121,24.8
12161,24.1
12201,24.1
12241,24.7
12281,24.4
12361,23
12401,23
12441,23.5
12481,22.5
12533,24.1
12561,23.9
12600,23.5
12640,22.8
12680,23.3
12720,23.5
12760,23.9
12800,24.1
12848,26.4
12900,26
12953,27.4
13063,27.2
13120,26
13176,28.4
13233,26
13290,27.6
13347,27.1
13712,27.6
13786,27.4
13860,27.3
13992,24.9
14035,27.5
14077,25.9
